"model","0%","25%","50%","75%","100%"
"esm2                ","0.959","0.963","0.964","0.965","0.968"
"saprot              ","0.913","0.958","0.959","0.961","0.963"
"esm3                ","0.955","0.956","0.957","0.958","0.96"
"oneprot_pocket_32900","0.894","0.8975","0.9","0.902","0.903"
"oneprot_pocket_text_32900","0.961","0.963","0.964","0.9655","0.968"
"oneprot_struct_graph_32900","0.889","0.8925","0.8955","0.90025","0.903"
"oneprot_struct_graph_pocket_32900","0.898","0.9005","0.9055","0.90675","0.909"
"oneprot_struct_graph_pocket_text_32900","0.96","0.964","0.965","0.967","0.969"
"oneprot_struct_graph_text_32900","0.964","0.967","0.97","0.9715","0.973"
"oneprot_struct_token_32900","0.924","0.926","0.929","0.929","0.93"
"oneprot_struct_token_pocket_32900","0.916","0.92","0.922","0.922","0.928"
"oneprot_struct_token_pocket_text_32900","0.96","0.961","0.963","0.965","0.966"
"oneprot_struct_token_struct_graph_32900","0.94","0.941","0.943","0.9435","0.944"
"oneprot_struct_token_struct_graph_pocket_32900","0.928","0.93","0.93","0.932","0.934"
"oneprot_struct_token_struct_graph_text_32900","0.964","0.967","0.97","0.971","0.971"
"oneprot_struct_token_text_32900","0.967","0.968","0.969","0.96925","0.97"
"protrek             ","0.986","0.988","0.988","0.989","0.99"
"oneprot_full_allatom_no_seqsim_no_l1_A100_32900","0.96","0.96175","0.9635","0.96425","0.967"
"oneprot_text_32900  ","0.971","0.972","0.973","0.974","0.975"
"protrek_35          ","0.975","0.977","0.978","0.979","0.981"
"esmIF-new           ","0.902","0.9035","0.904","0.9055","0.909"
"embeddings_saprot   ","0.962","0.965","0.966","0.9675","0.968"
