"model","0%","25%","50%","75%","100%"
"oneprot_full_allatom_no_seqsim_no_l1_A100_32900","0.924","0.929","0.935","0.9395","0.944"
"oneprot_text_32900  ","0.938","0.94125","0.942","0.942","0.953"
"oneprot_pocket_32900","0.833","0.83775","0.8485","0.85775","0.86"
"oneprot_pocket_text_32900","0.929","0.9315","0.937","0.94","0.948"
"oneprot_struct_graph_32900","0.821","0.83675","0.844","0.849","0.856"
"oneprot_struct_graph_text_32900","0.957","0.961","0.963","0.965","0.97"
"oneprot_struct_graph_pocket_32900","0.86","0.8655","0.875","0.8785","0.882"
"oneprot_struct_graph_pocket_text_32900","0.949","0.952","0.954","0.9555","0.956"
"oneprot_struct_token_32900","0.882","0.885","0.889","0.892","0.902"
"oneprot_struct_token_text_32900","0.916","0.92","0.9245","0.93425","0.943"
"oneprot_struct_token_pocket_32900","0.824","0.82925","0.841","0.846","0.849"
"oneprot_struct_token_pocket_text_32900","0.93","0.938","0.939","0.94","0.949"
"oneprot_struct_token_struct_graph_32900","0.889","0.896","0.902","0.9265","0.93"
"oneprot_struct_token_struct_graph_text_32900","0.92","0.928","0.9315","0.9325","0.942"
"oneprot_struct_token_struct_graph_pocket_32900","0.834","0.84125","0.8615","0.86675","0.873"
"protrek_35          ","0.935","0.9395","0.944","0.95","0.954"
"protrek             ","0.962","0.968","0.972","0.973","0.977"
"esm2                ","0.934","0.93775","0.9405","0.94725","0.952"
"saprot              ","0.863","0.936","0.939","0.9415","0.944"
"esm3                ","0.912","0.914","0.92","0.9235","0.943"
"esmIF-08-25-2025    ","0.854","0.856","0.86","0.863","0.871"
"embeddings_saprot   ","0.91","0.912","0.925","0.929","0.933"
