"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.00209258466211306,0.000424386555426762,0.00568419543450413,0.000552270988658995,0.00336133947476503,0.00211656160257058,0.122289126452902
"Text",0.00490980423552729,0.000820868859313072,0.00314691200925023,0.00102889805362169,0.00492203567532315,0.00327455843386829,0.00327455843386829
"Pocket",0.00331778042978762,0.000831261886943806,0.00323167322080157,0.00104379498518327,0.00216450216450216,0.174143130217699,0.00336133947476503
"Pocket+Text",0.000559657937513468,5.24897146848268e-05,0.0278990360823165,7.81675186537961e-05,0.00106640901495449,0.000563377102368267,0.000563377102368267
"SG",0.00209258466211306,0.000424386555426762,0.00204514318801797,0.000552270988658995,0.00336133947476503,0.178274856982163,0.00211656160257058
"SG+Text",0.000431934291187447,3.43558011806278e-05,0.00042689200553651,5.27153448845231e-05,0.000852315021227144,0.00043447117083332,0.00043447117083332
"SG+Pocket",0.00323167322080157,0.000820868859313072,0.00314691200925023,0.00102889805362169,0.00492203567532315,0.00515371911306928,0.00327455843386829
"OneProt-4",0.00206877862166875,0.000421891537679015,0.0185255762325066,0.000548603129270122,0.00331778042978762,0.00209258466211306,0.00209258466211306
"ST",0.00141749107279779,0.000233276018421426,0.00138956391640281,0.000314598125493717,0.00238805702424253,0.00143159048260136,0.00143159048260136
"ST+Text",0.00327455843386829,0.000826054277995387,0.0176203576688025,0.00103632865438112,0.00499812476508246,0.00331778042978762,0.00331778042978762
"ST+pocket",0.00331778042978762,0.000831261886943806,0.00323167322080157,0.00104379498518327,0.00216450216450216,0.00336133947476503,0.00336133947476503
"ST+Pocket+Text",0.000980855634434974,0.000133733109957847,0.0612391487475635,0.000186386874994304,0.00172282941777669,0.00098941712511119,0.0483497755759706
"ST+SG",0.00143159048260136,0.000234554675010496,0.00140348228131984,0.000316527510642407,0.000666000666000666,0.00144578070089475,0.00144578070089475
"ST+SG+Text",0.000279387902833152,1.63050004701676e-05,0.878904279802998,2.64867621690318e-05,0.000587966721865659,0.000280679077396996,0.000429411291222069
"SG+ST+Pocket",0.00331778042978762,0.000831261886943806,0.00323167322080157,0.00104379498518327,0.00216450216450216,0.00336133947476503,0.00336133947476503
