"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Text",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Pocket",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Pocket+Text",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SG",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SG+Text",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SG+Pocket",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OneProt-4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ST+Text",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ST+pocket",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ST+Pocket+Text",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ST+SG",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ST+SG+Text",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SG+ST+Pocket",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ESM2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
