"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",1,0.00327455843386829,0.00336133947476503,0.000563377102368267,0.00211656160257058,0.00043447117083332,0.00327455843386829,0.00209258466211306,0.00143159048260136,0.00331778042978762,0.00336133947476503,0.263196973224862,0.00144578070089475,0.000971296129247897,0.00336133947476503,0.00568419543450413
"Text",0.00327455843386829,1,0.00492203567532315,0.00105129711188051,0.00327455843386829,0.00538411641105317,0.00477182171379712,0.00323167322080157,0.00233541799146005,0.00484660121048849,0.00492203567532315,0.00168993252373719,0.00236164680169218,0.000582328719784098,0.00492203567532315,0.00314691200925023
"Pocket",0.00336133947476503,0.00492203567532315,1,0.00106640901495449,0.615615986231077,0.000852315021227144,0.0242185017919254,0.00331778042978762,0.00238805702424253,0.00499812476508246,0.00216450216450216,0.00172282941777669,0.000666000666000666,0.000587966721865659,0.00216450216450216,0.00323167322080157
"Pocket+Text",0.000563377102368267,0.00105129711188051,0.00106640901495449,1,0.000563377102368267,0.000305902092693454,0.00105129711188051,0.314599655102364,0.000320411801373492,0.649266110322471,0.00106640901495449,0.000394926782992665,0.00032236674716256,0.0044929639117396,0.00106640901495449,0.0278990360823165
"SG",0.00211656160257058,0.00327455843386829,0.615615986231077,0.000563377102368267,1,0.00043447117083332,0.00971885724469956,0.00209258466211306,0.00143159048260136,0.00331778042978762,0.00336133947476503,0.00098941712511119,0.00144578070089475,0.000280679077396996,0.00336133947476503,0.00204514318801797
"SG+Text",0.00043447117083332,0.00538411641105317,0.000852315021227144,0.000305902092693454,0.00043447117083332,1,0.000841743835039597,0.00809694907551239,0.000238421357875427,0.00261657785474894,0.000852315021227144,0.000136467611193801,0.000239720528320936,1.65250600816336e-05,0.000852315021227144,0.00042689200553651
"SG+Pocket",0.00327455843386829,0.00477182171379712,0.0242185017919254,0.00105129711188051,0.00971885724469956,0.000841743835039597,1,0.00323167322080157,0.00233541799146005,0.00484660121048849,0.00492203567532315,0.00168993252373719,0.00236164680169218,0.000582328719784098,0.00492203567532315,0.00314691200925023
"OneProt-4",0.00209258466211306,0.00323167322080157,0.00331778042978762,0.314599655102364,0.00209258466211306,0.00809694907551239,0.00323167322080157,1,0.00141749107279779,0.472607465085783,0.00331778042978762,0.00117364513549078,0.00143159048260136,0.00462718747852767,0.00331778042978762,0.0185255762325066
"ST",0.00143159048260136,0.00233541799146005,0.00238805702424253,0.000320411801373492,0.00143159048260136,0.000238421357875427,0.00233541799146005,0.00141749107279779,1,0.00236164680169218,0.00363824183170567,0.000611406809113708,0.00723245262526333,0.000144168455931997,0.0446782602944812,0.00138956391640281
"ST+Text",0.00331778042978762,0.00484660121048849,0.00499812476508246,0.649266110322471,0.00331778042978762,0.00261657785474894,0.00484660121048849,0.472607465085783,0.00236164680169218,1,0.00499812476508246,0.00253853045558634,0.00238805702424253,0.00547465631816642,0.00499812476508246,0.0176203576688025
"ST+pocket",0.00336133947476503,0.00492203567532315,0.00216450216450216,0.00106640901495449,0.00336133947476503,0.000852315021227144,0.00492203567532315,0.00331778042978762,0.00363824183170567,0.00499812476508246,1,0.00172282941777669,0.000666000666000666,0.000587966721865659,0.0151515151515152,0.00323167322080157
"ST+Pocket+Text",0.263196973224862,0.00168993252373719,0.00172282941777669,0.000394926782992665,0.00098941712511119,0.000136467611193801,0.00168993252373719,0.00117364513549078,0.000611406809113708,0.00253853045558634,0.00172282941777669,1,0.000616175518027334,0.028873871953192,0.00172282941777669,0.0612391487475635
"ST+SG",0.00144578070089475,0.00236164680169218,0.000666000666000666,0.00032236674716256,0.00144578070089475,0.000239720528320936,0.00236164680169218,0.00143159048260136,0.00723245262526333,0.00238805702424253,0.000666000666000666,0.000616175518027334,1,0.000144798161455983,0.000666000666000666,0.00140348228131984
"ST+SG+Text",0.000971296129247897,0.000582328719784098,0.000587966721865659,0.0044929639117396,0.000280679077396996,1.65250600816336e-05,0.000582328719784098,0.00462718747852767,0.000144168455931997,0.00547465631816642,0.000587966721865659,0.028873871953192,0.000144798161455983,1,0.000587966721865659,0.878904279802998
"SG+ST+Pocket",0.00336133947476503,0.00492203567532315,0.00216450216450216,0.00106640901495449,0.00336133947476503,0.000852315021227144,0.00492203567532315,0.00331778042978762,0.0446782602944812,0.00499812476508246,0.0151515151515152,0.00172282941777669,0.000666000666000666,0.000587966721865659,1,0.00323167322080157
"ESM2",0.00568419543450413,0.00314691200925023,0.00323167322080157,0.0278990360823165,0.00204514318801797,0.00042689200553651,0.00314691200925023,0.0185255762325066,0.00138956391640281,0.0176203576688025,0.00323167322080157,0.0612391487475635,0.00140348228131984,0.878904279802998,0.00323167322080157,1
