"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.999324608105784,0.999846524125407,0.998098702900576,0.000276135494329497,0.00168066973738251,0.00105828080128529,0.0611445632264509
"Text",0.998447482295548,0.999709040026452,0.00157345600462511,0.000514449026810843,0.00246101783766158,0.00163727921693415,0.00163727921693415
"Pocket",0.998964654657048,0.999705158018734,0.998993965083233,0.999636677871854,1,0.0870715651088493,0.998949800883173
"Pocket+Text",0.999800881057551,0.99997987148951,0.0139495180411582,3.9083759326898e-05,0.000533204507477243,0.000281688551184134,0.000281688551184134
"SG",0.999324608105784,0.999846524125407,0.999341112482256,0.999803639831844,0.998949800883173,0.0891374284910817,0.999316255631461
"SG+Text",0.999843668214746,0.999986679286723,0.000213446002768255,2.63576724422615e-05,0.000426157510613572,0.00021723558541666,0.00021723558541666
"SG+Pocket",0.998993965083233,0.999709040026452,0.999022747964983,0.999642163306837,0.998524436996667,0.00257685955653464,0.998979375960937
"OneProt-4",0.999332893662046,0.9998474676831,0.00926278811625329,0.000274301564635061,0.00165889021489381,0.00104629233105653,0.00104629233105653
"ST",0.999528671093998,0.999914165195174,0.999538590308741,0.999886007347598,0.999228355463929,0.000715795241300679,0.999523658154312
"ST+Text",0.998979375960937,0.999707103490433,0.00881017883440125,0.000518164327190561,0.00249906238254123,0.00165889021489381,0.00165889021489381
"ST+pocket",0.998964654657048,0.999705158018734,0.998993965083233,0.999636677871854,1,0.00168066973738251,0.998949800883173
"ST+Pocket+Text",0.99966587241269,0.999950057796742,0.97607638770552,9.3193437497152e-05,0.000861414708888343,0.000494708562555595,0.0241748877879853
"ST+SG",0.999523658154312,0.99991367575396,0.999533648444837,0.999885277513334,1,0.000722890350447377,0.999518609524448
"ST+SG+Text",0.999895803875082,0.999993553030894,0.590385825338746,1.32433810845159e-05,0.000293983360932829,0.000140339538698498,0.000214705645611035
"SG+ST+Pocket",0.998964654657048,0.999705158018734,0.998993965083233,0.999636677871854,1,0.00168066973738251,0.998949800883173
