"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
"Text",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
"Pocket",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
"Pocket+Text",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
"SG",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
"SG+Text",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
"SG+Pocket",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
"OneProt-4",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
"ST",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
"ST+Text",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
"ST+pocket",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
"ST+Pocket+Text",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
"ST+SG",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
"ST+SG+Text",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
"SG+ST+Pocket",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
"ESM2",0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047,0.503087610001047
