"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",0.525900071290706,0.998979375960937,0.00168066973738251,0.999799491389759,0.00105828080128529,0.999842707798377,0.00163727921693415,0.999324608105784,0.000715795241300679,0.998964654657048,0.00168066973738251,0.889792533769503,0.000722890350447377,0.999629150570186,0.00168066973738251,0.998098702900576
"Text",0.00163727921693415,0.533206751852622,0.00246101783766158,0.000525648555940253,0.00163727921693415,0.00269205820552658,0.00238591085689856,0.00161583661040078,0.00116770899573003,0.00242330060524425,0.00246101783766158,0.000844966261868593,0.00118082340084609,0.000291164359892049,0.00246101783766158,0.00157345600462511
"Pocket",0.998949800883173,0.998524436996667,0.532246162773191,0.999628342167117,0.307807993115539,0.999697286389955,0.992124178589466,0.998964654657048,0.999228355463929,0.998499148326408,1,0.999428113806032,1,0.999784167395157,1,0.998993965083233
"Pocket+Text",0.000281688551184134,0.999633913676651,0.000533204507477243,0.51322723034446,0.000281688551184134,0.99987965302064,0.000525648555940253,0.863687424436412,0.000160205900686746,0.710841459215746,0.000533204507477243,0.000197463391496332,0.00016118337358128,0.0022464819558698,0.000533204507477243,0.0139495180411582
"SG",0.999316255631461,0.998979375960937,0.74070576566173,0.999799491389759,0.525900071290706,0.999842707798377,0.996826778659519,0.999324608105784,0.999523658154312,0.998964654657048,0.998949800883173,0.999662776579997,0.999518609524448,0.999895303373757,0.998949800883173,0.999341112482256
"SG+Text",0.00021723558541666,0.997995475679539,0.000426157510613572,0.000152951046346727,0.00021723558541666,0.511668026876403,0.000420871917519798,0.00404847453775619,0.000119210678937714,0.00130828892737447,0.000426157510613572,6.82338055969004e-05,0.000119860264160468,8.26253004081678e-06,0.000426157510613572,0.000213446002768255
"SG+Pocket",0.998979375960937,0.998574239017664,0.0121092508959627,0.999633913676651,0.00485942862234978,0.999701240191177,0.533206751852622,0.998993965083233,0.999246716281979,0.998549467101319,0.998524436996667,0.999439805691233,0.999237571582805,0.999786331220824,0.998524436996667,0.999022747964983
"OneProt-4",0.00104629233105653,0.998993965083233,0.00165889021489381,0.157299827551182,0.00104629233105653,0.996865977871567,0.00161583661040078,0.526138446354574,0.000708745536398896,0.236303732542892,0.00165889021489381,0.000586822567745392,0.000715795241300679,0.00231359373926383,0.00165889021489381,0.00926278811625329
"ST",0.999523658154312,0.999246716281979,0.00119402851212126,0.999883807604755,0.000715795241300679,0.999912195028084,0.00116770899573003,0.999528671093998,0.521189577995396,0.999237571582805,0.00181912091585283,0.999786673881471,0.99737498546229,0.999945445998081,0.0223391301472406,0.999538590308741
"ST+Text",0.00165889021489381,0.998549467101319,0.00249906238254123,0.324633055161236,0.00165889021489381,0.999043998788522,0.00242330060524425,0.805626416104657,0.00118082340084609,0.532715885435353,0.00249906238254123,0.00126926522779317,0.00119402851212126,0.00273732815908321,0.00249906238254123,0.00881017883440125
"ST+pocket",0.998949800883173,0.998524436996667,0.00108225108225108,0.999628342167117,0.00168066973738251,0.999697286389955,0.00246101783766158,0.998964654657048,0.998805971487879,0.998499148326408,0.532246162773191,0.999428113806032,1,0.999784167395157,0.995670995670996,0.998993965083233
"ST+Pocket+Text",0.131598486612431,0.999439805691233,0.000861414708888343,0.99985250150362,0.000494708562555595,0.999948999720297,0.000844966261868593,0.999598283178782,0.000305703404556854,0.999146834859006,0.000861414708888343,0.517992519148941,0.000308087759013667,0.987729223780789,0.000861414708888343,0.97607638770552
"ST+SG",0.999518609524448,0.999237571582805,0.000333000333000333,0.999883067512384,0.000722890350447377,0.999911697301601,0.00118082340084609,0.999523658154312,0.00361622631263166,0.999228355463929,0.000333000333000333,0.999784920534754,0.52106318988918,0.99994519949163,0.000333000333000333,0.999533648444837
"ST+SG+Text",0.000485648064623949,0.999786331220824,0.000293983360932829,0.998113088390085,0.000140339538698498,0.999993464000191,0.000291164359892049,0.998177885041415,7.20842279659983e-05,0.997885850469295,0.000293983360932829,0.014436935976596,7.23990807279917e-05,0.509295059039611,0.000293983360932829,0.590385825338746
"SG+ST+Pocket",0.998949800883173,0.998524436996667,0.00108225108225108,0.999628342167117,0.00168066973738251,0.999697286389955,0.00246101783766158,0.998964654657048,0.98370906284729,0.998499148326408,0.00757575757575758,0.999428113806032,1,0.999784167395157,0.532246162773191,0.998993965083233
"ESM2",0.00284209771725207,0.999022747964983,0.00161583661040078,0.98899849149781,0.00102257159400898,0.999845576368178,0.00157345600462511,0.993536472151194,0.000694781958201405,0.994087922508924,0.00161583661040078,0.0306195743737818,0.000701741140659922,0.439452139901499,0.00161583661040078,0.526635632675948
