"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.0160557732561605,0.00085989691015073,0.00086760661197292,0.00129465086120782,0.00128144881309884,0.00218183990653531,0.00189661739359331
"Text",0.205603167736109,0.000587946419235522,0.000592587624568272,0.000930528385309294,0.000922313041710063,0.00164134570182125,0.000384567345635064
"Pocket",0.00233541799146005,0.00233541799146005,0.00236164680169218,0.00318912451057108,0.00314691200925023,0.0127487972683799,0.00173943010959051
"Pocket+Text",0.00723245262526333,0.00090685675099235,0.000914847910263604,0.00137573578468112,0.001361997691188,0.00233541799146005,0.00197206443807242
"SG",0.000436563141131641,0.000436563141131641,0.000439567454178243,0.000726701113461374,0.00072120101689896,0.00134217517974151,0.0002728488113337
"SG+Text",0.286267575161472,0.000620969920264772,0.000625790079642251,0.00098941712511119,0.000980855634434974,0.00175613253408733,0.000403832264974162
"SG+Pocket",0.00141749107279779,0.00141749107279779,0.00143159048260136,0.00204514318801797,0.00202167806325161,0.0521425297882339,0.00100668995330391
"OneProt-4",0.000936508499734544,0.000235838442755749,0.000741106878243355,0.000424386555426762,0.000421891537679015,0.000841743835039597,0.0241010840156224
"ST",0.00236164680169218,0.00236164680169218,0.00238805702424253,0.00323167322080157,0.00318912451057108,0.00499812476508246,0.00175613253408733
"ST+Text",0.0918499559587808,0.00233541799146005,0.00236164680169218,0.00318912451057108,0.00314691200925023,0.00492203567532315,0.00173943010959051
"ST+pocket",0.00233541799146005,0.00233541799146005,0.00236164680169218,0.00318912451057108,0.00314691200925023,0.00492203567532315,0.00173943010959051
"ST+Pocket+Text",0.00138956391640281,0.00138956391640281,0.518796901452636,0.190259709287567,0.00815243019685104,0.00323167322080157,0.0422876864858473
"ST+SG",0.00141749107279779,0.00141749107279779,0.00143159048260136,0.00204514318801797,0.00202167806325161,0.00331778042978762,0.00100668995330391
"ST+SG+Text",0.00197122803003031,0.001361997691188,0.00246260210757171,0.00195230149254999,0.00192951452998338,0.00314691200925023,0.0589107369676131
"SG+ST+Pocket",0.000620969920264772,0.000620969920264772,0.000625790079642251,0.00098941712511119,0.000980855634434974,0.00175613253408733,0.000403832264974162
