"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",1.19966857038883e-05,2.34943222262469e-05,0.272825677261027,0.0180310526428313,9.35815053187115e-05,0.000224646832876247,0.00839300926452641
"Text",1.26861580090621e-08,1.34023853952123e-07,3.41474498968925e-05,1.51958358011466e-05,8.21411438530361e-07,5.15384162707998e-06,5.15384162707998e-06
"Pocket",1.09035168965645e-07,6.8199979150944e-07,0.000112030343158075,5.24897146848268e-05,3.67464513233186e-06,0.00101202916642911,1.91911925317361e-05
"Pocket+Text",1.04816489914948e-06,3.53670422707435e-06,0.0234514048326786,0.00015064824857863,1.56422966617075e-05,5.78481433067793e-05,0.262583070283197
"SG",3.46834922256242e-06,8.86925413263969e-06,0.000396014053510157,0.000233276018421426,3.55012498596737e-05,0.00027646580055166,0.000112132214387119
"SG+Text",1.14290475817564e-10,7.20102776679412e-09,6.98335654316501e-05,5.06648876749995e-06,7.07273375558517e-08,1.07857897957682e-06,0.00286646963655693
"SG+Pocket",3.32011115597711e-07,1.52820366972941e-06,0.000166842089181729,8.37802802185882e-05,7.50001723389867e-06,0.933134568258258,3.33482950426395e-05
"OneProt-4",2.56710584104758e-14,5.45707536288018e-11,0.0160659644279594,9.69773718969147e-06,1.33252853495405e-09,6.7262358072402e-08,0.327866097644722
"ST",3.46746088011297e-06,8.85633129848344e-06,0.000393224199640225,0.00220353890730172,3.54291123413498e-05,0.000111689683742792,0.000111689683742792
"ST+Text",2.05040689310091e-14,3.02485150948187e-11,1.06613024409566e-06,2.21341129499628e-07,5.85932854307171e-10,2.76169032692354e-08,9.4377582975446e-07
"ST+pocket",1.05014247402438e-06,3.57269859112663e-06,0.000249825429476263,0.0015044036488438,1.58628745504624e-05,5.93866585755984e-05,5.93866585755984e-05
"ST+Pocket+Text",9.99383669304435e-14,1.15161014856333e-10,0.80772254609313,0.000500677751690117,2.62036588932283e-09,1.00602370454812e-07,0.000258016934691135
"ST+SG",1.08909314248888e-07,6.78210797975056e-07,0.000109716693328654,0.000756006112256339,3.64695655345452e-06,1.8938669327775e-05,1.8938669327775e-05
"ST+SG+Text",1.30472660351064e-08,1.51739948715768e-07,0.000162141519048866,2.17047377169951e-05,9.70336634285675e-07,6.82009090416065e-06,0.00340844359987604
"SG+ST+Pocket",1.04901204723851e-06,3.55209357079086e-06,0.000243515613419183,0.00148298637530407,1.57365275747394e-05,5.85036953551238e-05,5.85036953551238e-05
