"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.994042498861041,0.999707591405873,0.00043380330598646,0.000647325430603912,0.000640724406549418,0.00109091995326766,0.000948308696796657
"Text",0.913576657121641,0.999795289047828,0.000296293812284136,0.000465264192654647,0.000461156520855032,0.000820672850910627,0.000192283672817532
"Pocket",0.999246716281979,0.999246716281979,0.999237571582805,0.999008422317996,0.999022747964983,0.995992074743485,0.999422207738403
"Pocket+Text",0.99737498546229,0.999690632492807,0.000457423955131802,0.000687867892340562,0.000680998845593999,0.00116770899573003,0.000986032219036211
"SG",0.999844505341938,0.999844505341938,0.999843383503348,0.999746710091083,0.999748732283146,0.999542621612544,0.999901015543159
"SG+Text",0.877643215592517,0.999783157013825,0.000312895039821126,0.000494708562555595,0.000490427817217487,0.000878066267043665,0.000201916132487081
"SG+Pocket",0.999528671093998,0.999528671093998,0.999523658154312,0.999341112482256,0.999349264750204,0.981501795114491,0.999656525793002
"OneProt-4",0.999646428349696,0.99991318424913,0.000370553439121677,0.000212193277713381,0.000210945768839507,0.000420871917519798,0.0120505420078112
"ST",0.999237571582805,0.999237571582805,0.999228355463929,0.998993965083233,0.999008422317996,0.00249906238254123,0.999416261453572
"ST+Text",0.96526796922009,0.999246716281979,0.00118082340084609,0.00159456225528554,0.00157345600462511,0.00246101783766158,0.000869715054795257
"ST+pocket",0.999246716281979,0.999246716281979,0.999237571582805,0.999008422317996,0.999022747964983,0.00246101783766158,0.999422207738403
"ST+Pocket+Text",0.999538590308741,0.999538590308741,0.777122262829294,0.0951298546437834,0.00407621509842552,0.00161583661040078,0.983723586246463
"ST+SG",0.999528671093998,0.999528671093998,0.999523658154312,0.999341112482256,0.999349264750204,0.00165889021489381,0.999656525793002
"ST+SG+Text",0.999339339166805,0.999548367986284,0.00123130105378586,0.000976150746274996,0.000964757264991691,0.00157345600462511,0.0294553684838066
"SG+ST+Pocket",0.999783157013825,0.999783157013825,0.999781383288902,0.999662776579997,0.99966587241269,0.000878066267043665,0.999856080557549
