"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.999994578627097,0.999990321015038,0.884203903880101,0.00901552632141565,4.67907526593558e-05,0.000112323416438124,0.996606060215141
"Text",0.99999999420392,0.999999942826934,1.70737249484463e-05,7.59791790057328e-06,4.10705719265181e-07,2.57692081353999e-06,2.57692081353999e-06
"Pocket",0.999999950336697,0.999999711521711,0.99995819680701,0.99997987148951,0.999998474813989,0.999580108825608,0.999992415571191
"Pocket+Text",0.999999524329186,0.999998521967699,0.0117257024163393,7.53241242893149e-05,7.82114833085373e-06,2.89240716533897e-05,0.881171595397244
"SG",0.999998429179365,0.999996318193241,0.999859609560184,0.999914165195174,0.999985566133005,0.999892769901979,0.999957107916711
"SG+Text",0.999999999947408,0.999999996860918,3.49167827158251e-05,2.53324438374998e-06,3.53636687779259e-08,5.39289489788409e-07,0.00143323481827846
"SG+Pocket",0.999999849042033,0.999999357223015,0.999938636145019,0.999968251999109,0.999996906338981,0.466567284129129,0.99998694604523
"OneProt-4",0.999999999999988,0.999999999975521,0.00803298221397968,4.84886859484574e-06,6.66264267477023e-10,3.3631179036201e-08,0.842192287852361
"ST",0.999998429585106,0.999996323650377,0.999860646120282,0.999151895589758,0.999985596104516,5.58448418713962e-05,0.999957282620664
"ST+Text",0.99999999999999,0.99999999998647,5.33065122047829e-07,1.10670564749814e-07,2.92966427153586e-10,1.38084516346177e-08,4.7188791487723e-07
"ST+pocket",0.999999523424953,0.999998506692579,0.999909709951252,0.999413066054484,0.999993502020836,2.96933292877992e-05,0.999977008996759
"ST+Pocket+Text",0.999999999999954,0.999999999948558,0.609544326225786,0.000250338875845058,1.31018294466142e-09,5.03011852274059e-08,0.999883678934169
"ST+SG",0.999999950394377,0.99999971314459,0.9999590901206,0.999698459352464,0.999998486489781,9.46933466388752e-06,0.999992517694903
"ST+SG+Text",0.999999994038055,0.999999935183338,8.10707595244331e-05,1.08523688584976e-05,4.85168317142838e-07,3.41004545208033e-06,0.00170422179993802
"SG+ST+Pocket",0.999999523941835,0.999998515437132,0.999912086921704,0.999421772524935,0.999993554783396,2.92518476775619e-05,0.999977360533575
