"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.00327455843386829,0.56664135655227,0.122878288753055,0.00331778042978762,0.382857253175264,0.00144578070089475,0.00521573091114377
"Text",0.00323167322080157,0.61610419604597,0.0874946666825338,0.00327455843386829,0.027195156956907,0.00143159048260136,0.00406630122199605
"Pocket",0.146685670062673,0.00499812476508246,0.00173943010959051,0.00492203567532315,0.00233541799146005,0.00238805702424253,0.00492203567532315
"Pocket+Text",0.00327455843386829,0.132010760338105,0.00666353874764026,0.00411784714064379,0.640428787412791,0.00144578070089475,0.00331778042978762
"SG",0.00327455843386829,0.00336133947476503,0.00100668995330391,0.00331778042978762,0.00141749107279779,0.00144578070089475,0.00331778042978762
"SG+Text",0.00327455843386829,0.0182558605874593,0.00100668995330391,0.0994780797227141,0.0265056439856758,0.00144578070089475,0.00331778042978762
"SG+Pocket",0.00455141587451369,0.00469769748933007,0.00167363596270264,0.00462422880149912,0.00223231160824508,0.00228350356475037,0.00462422880149912
"OneProt-4",0.00230937033398018,0.0589429229461359,0.00144653971784634,0.00345474672003215,0.832045386076584,0.000922886379454514,0.00233541799146005
"ST",0.00327455843386829,0.00527815546901318,0.00100668995330391,0.884658851229378,0.00303357793150155,0.00144578070089475,0.00331778042978762
"ST+Text",0.00286081069314508,1,0.445008718746736,0.00290067915109067,0.00338912709335256,0.00130794174411298,0.00290067915109067
"ST+pocket",0.00230937033398018,0.00778624618584666,0.000616175518027334,0.240043738931012,0.00601887508313392,0.000922886379454514,0.00233541799146005
"ST+Pocket+Text",0.00484660121048849,0.935736280642756,0.404314015382254,0.00492203567532315,0.0685373035554428,0.00238805702424253,0.00492203567532315
"ST+SG",0.0613242541028787,0.00499812476508246,0.00173943010959051,0.00492203567532315,0.00233541799146005,0.00238805702424253,0.00492203567532315
"ST+SG+Text",0.00323167322080157,0.564481909865974,0.0536570830464633,0.00327455843386829,0.0122853671905128,0.00143159048260136,0.00327455843386829
"SG+ST+Pocket",0.00492203567532315,0.00432900432900433,0.00175613253408733,0.470393004438648,0.0065268011630066,0.000666000666000666,0.00499812476508246
