"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",1,0.518738990908116,0.00331778042978762,0.480752644572086,0.00211656160257058,0.00584645596789975,0.00314691200925023,0.243336280678045,0.00211656160257058,0.242236292719953,0.00141749107279779,0.51566630201471,0.00331778042978762,0.480266614092217,0.00416976788133904,0.122878288753055
"Text",0.518738990908116,1,0.00327455843386829,0.155712818687896,0.00209258466211306,0.00209258466211306,0.00310503540890354,0.0197395475699382,0.00209258466211306,0.0497098821578146,0.00140348228131984,1,0.00327455843386829,0.948140976147061,0.00331778042978762,0.0874946666825338
"Pocket",0.00331778042978762,0.00327455843386829,1,0.00331778042978762,0.00331778042978762,0.00331778042978762,0.00462422880149912,0.00233541799146005,0.00331778042978762,0.00290067915109067,0.00233541799146005,0.00492203567532315,0.0127487972683799,0.00327455843386829,0.00499812476508246,0.00173943010959051
"Pocket+Text",0.480752644572086,0.155712818687896,0.00331778042978762,1,0.00211656160257058,0.0338098257556604,0.00314691200925023,0.483522059868049,0.00392073724260794,0.00280344885476839,0.0061118892980366,0.196687888150126,0.00331778042978762,0.121871987663644,0.00813307223489498,0.00666353874764026
"SG",0.00211656160257058,0.00209258466211306,0.00331778042978762,0.00211656160257058,1,0.00211656160257058,0.00314691200925023,0.00141749107279779,0.00211656160257058,0.00188444652416549,0.00141749107279779,0.00331778042978762,0.00331778042978762,0.00209258466211306,0.00336133947476503,0.00100668995330391
"SG+Text",0.00584645596789975,0.00209258466211306,0.00331778042978762,0.0338098257556604,0.00211656160257058,1,0.00314691200925023,0.0483326547176579,0.0824836146769693,0.00188444652416549,0.349323687207887,0.00411784714064379,0.00331778042978762,0.00209258466211306,0.114076041966649,0.00100668995330391
"SG+Pocket",0.00314691200925023,0.00310503540890354,0.00462422880149912,0.00314691200925023,0.00314691200925023,0.00314691200925023,1,0.00223231160824508,0.00314691200925023,0.00274320368050064,0.00223231160824508,0.00462422880149912,0.00462422880149912,0.00310503540890354,0.00469769748933007,0.00167363596270264
"OneProt-4",0.243336280678045,0.0197395475699382,0.00233541799146005,0.483522059868049,0.00141749107279779,0.0483326547176579,0.00223231160824508,1,0.00308651047500216,0.00186106727609203,0.00689273269436362,0.0517677258388118,0.00233541799146005,0.0103357864647193,0.0065268011630066,0.00144653971784634
"ST",0.00211656160257058,0.00209258466211306,0.00331778042978762,0.00392073724260794,0.00211656160257058,0.0824836146769693,0.00314691200925023,0.00308651047500216,1,0.00188444652416549,0.198141296310424,0.00331778042978762,0.00331778042978762,0.00209258466211306,0.430128212949752,0.00100668995330391
"ST+Text",0.242236292719953,0.0497098821578146,0.00290067915109067,0.00280344885476839,0.00188444652416549,0.00188444652416549,0.00274320368050064,0.00186106727609203,0.00188444652416549,1,0.00128144881309884,1,0.00290067915109067,0.0819837965571791,0.0029408813627527,0.445008718746736
"ST+pocket",0.00141749107279779,0.00140348228131984,0.00233541799146005,0.0061118892980366,0.00141749107279779,0.349323687207887,0.00223231160824508,0.00689273269436362,0.198141296310424,0.00128144881309884,1,0.00233541799146005,0.00233541799146005,0.00140348228131984,0.135905616382265,0.000616175518027334
"ST+Pocket+Text",0.51566630201471,1,0.00492203567532315,0.196687888150126,0.00331778042978762,0.00411784714064379,0.00462422880149912,0.0517677258388118,0.00331778042978762,1,0.00233541799146005,1,0.00492203567532315,0.828930110280334,0.00499812476508246,0.404314015382254
"ST+SG",0.00331778042978762,0.00327455843386829,0.0127487972683799,0.00331778042978762,0.00331778042978762,0.00331778042978762,0.00462422880149912,0.00233541799146005,0.00331778042978762,0.00290067915109067,0.00233541799146005,0.00492203567532315,1,0.00327455843386829,0.00499812476508246,0.00173943010959051
"ST+SG+Text",0.480266614092217,0.948140976147061,0.00327455843386829,0.121871987663644,0.00209258466211306,0.00209258466211306,0.00310503540890354,0.0103357864647193,0.00209258466211306,0.0819837965571791,0.00140348228131984,0.828930110280334,0.00327455843386829,1,0.00331778042978762,0.0536570830464633
"SG+ST+Pocket",0.00416976788133904,0.00331778042978762,0.00499812476508246,0.00813307223489498,0.00336133947476503,0.114076041966649,0.00469769748933007,0.0065268011630066,0.430128212949752,0.0029408813627527,0.135905616382265,0.00499812476508246,0.00499812476508246,0.00331778042978762,1,0.00175613253408733
"ESM2",0.122878288753055,0.0874946666825338,0.00173943010959051,0.00666353874764026,0.00100668995330391,0.00100668995330391,0.00167363596270264,0.00144653971784634,0.00100668995330391,0.445008718746736,0.000616175518027334,0.404314015382254,0.00173943010959051,0.0536570830464633,0.00175613253408733,1
