"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.00163727921693415,0.763083404703585,0.95044712637748,0.00165889021489381,0.191428626587632,0.999518609524448,0.998341109785106
"Text",0.00161583661040078,0.740416682271729,0.965281190294346,0.00163727921693415,0.0135975784784535,0.999523658154312,0.998721952525885
"Pocket",0.946584080330804,0.998499148326408,0.999422207738403,0.998524436996667,0.999246716281979,0.999228355463929,0.998524436996667
"Pocket+Text",0.00163727921693415,0.950494703286307,0.997595880267706,0.00205892357032189,0.320214393706395,0.999518609524448,0.998964654657048
"SG",0.998979375960937,0.998949800883173,0.999656525793002,0.998964654657048,0.999528671093998,0.999518609524448,0.998964654657048
"SG+Text",0.00163727921693415,0.993850393494145,0.999656525793002,0.049739039861357,0.990241259408911,0.999518609524448,0.998964654657048
"SG+Pocket",0.99864700967424,0.99859875314057,0.999445591711296,0.998623009882618,0.999282584393624,0.999264792119763,0.998623009882618
"OneProt-4",0.00115468516699009,0.978249550142774,0.999484122304135,0.00172737336001607,0.624802486556237,0.999684831437793,0.999246716281979
"ST",0.00163727921693415,0.998319330262617,0.999656525793002,0.614142286039135,0.998966949809568,0.999518609524448,0.998964654657048
"ST+Text",0.00143040534657254,0.558584094750592,0.808633455557387,0.00145033957554533,0.00169456354667628,0.999567502046256,0.999105956011463
"ST+pocket",0.00115468516699009,0.997372853648383,0.999784920534754,0.120021869465506,0.997830446918254,0.999684831437793,0.999246716281979
"ST+Pocket+Text",0.00242330060524425,0.467868140321378,0.829724183820889,0.00246101783766158,0.0342686517777214,0.999228355463929,0.998524436996667
"ST+SG",0.0306621270514393,0.998499148326408,0.999422207738403,0.998524436996667,0.999246716281979,0.999228355463929,0.998524436996667
"ST+SG+Text",0.00161583661040078,0.764313373827702,0.979164672420174,0.00163727921693415,0.00614268359525639,0.999523658154312,0.998979375960937
"SG+ST+Pocket",0.00246101783766158,0.998917748917749,0.999416261453572,0.811178804309567,0.997811271366744,1,0.998499148326408
