"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",0.525900071290706,0.78063764107444,0.00165889021489381,0.240376322286043,0.00105828080128529,0.00292322798394987,0.00157345600462511,0.121668140339022,0.00105828080128529,0.9030881623052,0.000708745536398896,0.786545900977859,0.00165889021489381,0.797919940899001,0.00208488394066952,0.95044712637748
"Text",0.259369495454058,0.526138446354574,0.00163727921693415,0.077856409343948,0.00104629233105653,0.00104629233105653,0.00155251770445177,0.00986977378496908,0.00104629233105653,0.981838012355158,0.000701741140659922,0.5,0.00163727921693415,0.577352231700936,0.00165889021489381,0.965281190294346
"Pocket",0.998964654657048,0.998979375960937,0.532715885435353,0.998964654657048,0.00165889021489381,0.998964654657048,0.00231211440074956,0.999246716281979,0.998964654657048,0.999105956011463,0.999246716281979,0.998524436996667,0.995992074743485,0.998979375960937,0.998499148326408,0.999422207738403
"Pocket+Text",0.797659738549464,0.939272717199973,0.00165889021489381,0.525900071290706,0.00105828080128529,0.0169049128778302,0.00157345600462511,0.241761029934024,0.00196036862130397,0.999090947826348,0.0030559446490183,0.924284478203292,0.00165889021489381,0.953118894658184,0.00406653611744749,0.997595880267706
"SG",0.999316255631461,0.999324608105784,0.998964654657048,0.999316255631461,0.525900071290706,0.999316255631461,0.999022747964983,0.999528671093998,0.999316255631461,0.99939679127737,0.999528671093998,0.998964654657048,0.998964654657048,0.999324608105784,0.998949800883173,0.999656525793002
"SG+Text",0.998039631378696,0.999324608105784,0.00165889021489381,0.98780592388177,0.00105828080128529,0.525900071290706,0.00157345600462511,0.981716908123708,0.0412418073384846,0.99939679127737,0.174661843603943,0.998704214914027,0.00165889021489381,0.999324608105784,0.0570380209833243,0.999656525793002
"SG+Pocket",0.999022747964983,0.999036942329655,0.998623009882618,0.999022747964983,0.00157345600462511,0.999022747964983,0.534823508347745,0.999282584393624,0.999022747964983,0.999158837157884,0.999282584393624,0.998623009882618,0.998623009882618,0.999036942329655,0.99859875314057,0.999445591711296
"OneProt-4",0.900316501696858,0.992813930316555,0.00116770899573003,0.793156886503416,0.000708745536398896,0.0241663273588289,0.00111615580412254,0.521318268897617,0.00154325523750108,0.999378813196108,0.00344636634718181,0.98099426120191,0.00116770899573003,0.996329340310687,0.0032634005815033,0.999484122304135
"ST",0.999316255631461,0.999324608105784,0.00165889021489381,0.998705190385748,0.00105828080128529,0.968914909832594,0.00157345600462511,0.998947581875915,0.525900071290706,0.99939679127737,0.919818668821034,0.998964654657048,0.00165889021489381,0.999324608105784,0.215064106474876,0.999656525793002
"ST+Text",0.121118146359976,0.0248549410789073,0.00145033957554533,0.0014017244273842,0.000942223262082747,0.000942223262082747,0.00137160184025032,0.000930533638046017,0.000942223262082747,0.528629133166341,0.000640724406549418,0.528952071110593,0.00145033957554533,0.0409918982785895,0.00147044068137635,0.808633455557387
"ST+pocket",0.999528671093998,0.999533648444837,0.00116770899573003,0.997870991406977,0.000708745536398896,0.853804217859601,0.00111615580412254,0.997507046792768,0.0990706481552122,0.999576860109828,0.521318268897617,0.999246716281979,0.00116770899573003,0.999533648444837,0.0679528081911326,0.999784920534754
"ST+Pocket+Text",0.257833151007355,0.557348827202478,0.00246101783766158,0.0983439440750628,0.00165889021489381,0.00205892357032189,0.00231211440074956,0.0258838629194059,0.00165889021489381,0.528952071110593,0.00116770899573003,0.532715885435353,0.00246101783766158,0.414465055140167,0.00249906238254123,0.829724183820889
"ST+SG",0.998964654657048,0.998979375960937,0.00637439863418996,0.998964654657048,0.00165889021489381,0.998964654657048,0.00231211440074956,0.999246716281979,0.998964654657048,0.999105956011463,0.999246716281979,0.998524436996667,0.532715885435353,0.998979375960937,0.998499148326408,0.999422207738403
"ST+SG+Text",0.240133307046108,0.474070488073531,0.00163727921693415,0.0609359938318218,0.00104629233105653,0.00104629233105653,0.00155251770445177,0.00516789323235967,0.00104629233105653,0.969471423689943,0.000701741140659922,0.640622512429466,0.00163727921693415,0.526138446354574,0.00165889021489381,0.979164672420174
"SG+ST+Pocket",0.998686327431097,0.998964654657048,0.00249906238254123,0.997360922265493,0.00168066973738251,0.957626507052171,0.00234884874466504,0.997811271366744,0.82444070229603,0.999092413275321,0.947478692481492,0.998499148326408,0.00249906238254123,0.998964654657048,0.532246162773191,0.999416261453572
"ESM2",0.0614391443765274,0.0437473333412669,0.000869715054795257,0.00333176937382013,0.000503344976651955,0.000503344976651955,0.000836817981351322,0.000723269858923169,0.000503344976651955,0.222504359373368,0.000308087759013667,0.202157007691127,0.000869715054795257,0.0268285415232317,0.000878066267043665,0.517839491087834
