"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.00138956391640281,0.00318912451057108,0.00318912451057108,0.00323167322080157,0.00503093476945043,0.00314691200925023,0.43502323076323
"Text",0.00300731761044714,0.00327455843386829,0.00327455843386829,0.00331778042978762,0.00327455843386829,0.00323167322080157,0.001361997691188
"Pocket",0.00144578070089475,0.00336133947476503,0.00336133947476503,0.00116550116550117,0.00336133947476503,1,0.00138956391640281
"Pocket+Text",0.00236164680169218,0.00492203567532315,0.00492203567532315,0.00499812476508246,0.00492203567532315,0.00484660121048849,0.00225781741431451
"SG",0.00144578070089475,0.00336133947476503,0.00336133947476503,0.00116550116550117,0.00336133947476503,0.00331778042978762,0.00138956391640281
"SG+Text",0.00133479083101299,0.00302228860875729,0.00302228860875729,0.00306349438748836,0.00302228860875729,0.00298141772216118,0.016309171877755
"SG+Pocket",0.00233541799146005,0.00484660121048849,0.00484660121048849,0.00492203567532315,0.00484660121048849,0.00477182171379712,0.00223231160824508
"OneProt-4",0.000914847910263604,0.00233541799146005,0.00233541799146005,0.00236164680169218,0.00233541799146005,0.00230937033398018,0.0142874896357284
"ST",0.00141749107279779,0.00327455843386829,0.00327455843386829,0.00331778042978762,0.00327455843386829,0.00323167322080157,0.001361997691188
"ST+Text",0.00233541799146005,0.00484660121048849,0.00484660121048849,0.00492203567532315,0.00484660121048849,0.00477182171379712,0.0157340900308009
"ST+pocket",0.00233541799146005,0.00484660121048849,0.00484660121048849,0.00492203567532315,0.00484660121048849,0.00477182171379712,0.00223231160824508
"ST+Pocket+Text",0.00238805702424253,0.00499812476508246,0.00499812476508246,0.00216450216450216,0.00499812476508246,0.00492203567532315,0.00279836506275833
"ST+SG",0.00138956391640281,0.00318912451057108,0.00318912451057108,0.00323167322080157,0.00318912451057108,0.00314691200925023,0.00133479083101299
"ST+SG+Text",0.00233541799146005,0.00484660121048849,0.00484660121048849,0.00492203567532315,0.00484660121048849,0.00477182171379712,0.145933787642998
"SG+ST+Pocket",0.00138956391640281,0.00318912451057108,0.00318912451057108,0.00323167322080157,0.00318912451057108,0.00314691200925023,0.00133479083101299
