"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",1,0.00202167806325161,0.00206877862166875,0.0118241549821512,0.00206877862166875,0.0948436579936144,0.00314691200925023,0.112936746905667,0.00202167806325161,0.0607567223236124,0.00314691200925023,0.0144681534388946,0.00197525752520928,0.661614987977276,0.00197525752520928,0.00318912451057108
"Text",0.00202167806325161,1,0.00211656160257058,0.00634644268096199,0.00211656160257058,0.00342395849075357,0.00323167322080157,0.00305997552248868,0.00206877862166875,0.00323167322080157,0.00323167322080157,0.0147425829227862,0.00202167806325161,0.00323167322080157,0.00202167806325161,0.00327455843386829
"Pocket",0.00206877862166875,0.00211656160257058,1,0.00336133947476503,0.000582750582750583,0.00197525752520928,0.00331778042978762,0.00143159048260136,0.00211656160257058,0.00331778042978762,0.00331778042978762,0.00116550116550117,0.00206877862166875,0.00331778042978762,0.00206877862166875,0.00336133947476503
"Pocket+Text",0.0118241549821512,0.00634644268096199,0.00336133947476503,1,0.00336133947476503,0.510879141427326,0.00484660121048849,0.240043738931012,0.00327455843386829,0.684175600439685,0.00484660121048849,0.808197461322905,0.00318912451057108,0.0334399070883118,0.00318912451057108,0.00492203567532315
"SG",0.00206877862166875,0.00211656160257058,0.000582750582750583,0.00336133947476503,1,0.00197525752520928,0.00331778042978762,0.00143159048260136,0.00211656160257058,0.00331778042978762,0.00331778042978762,0.00116550116550117,0.00206877862166875,0.00331778042978762,0.00206877862166875,0.00336133947476503
"SG+Text",0.0948436579936144,0.00342395849075357,0.00197525752520928,0.510879141427326,0.00197525752520928,1,0.00298141772216118,1,0.00192951452998338,0.827259346562711,0.00298141772216118,0.664310210453792,0.00188444652416549,0.164532065724582,0.00188444652416549,0.00302228860875729
"SG+Pocket",0.00314691200925023,0.00323167322080157,0.00331778042978762,0.00484660121048849,0.00331778042978762,0.00298141772216118,1,0.00230937033398018,0.00323167322080157,0.00477182171379712,0.00477182171379712,0.00492203567532315,0.00314691200925023,0.00477182171379712,0.00314691200925023,0.00484660121048849
"OneProt-4",0.112936746905667,0.00305997552248868,0.00143159048260136,0.240043738931012,0.00143159048260136,1,0.00230937033398018,1,0.00140348228131984,0.514886493578446,0.00230937033398018,0.268776271101402,0.00137573578468112,0.395082803931657,0.00137573578468112,0.00233541799146005
"ST",0.00202167806325161,0.00206877862166875,0.00211656160257058,0.00327455843386829,0.00211656160257058,0.00192951452998338,0.00323167322080157,0.00140348228131984,1,0.00323167322080157,0.242470323054276,0.00331778042978762,0.00202167806325161,0.00323167322080157,0.795869140159587,0.00327455843386829
"ST+Text",0.0607567223236124,0.00323167322080157,0.00331778042978762,0.684175600439685,0.00331778042978762,0.827259346562711,0.00477182171379712,0.514886493578446,0.00323167322080157,1,0.00477182171379712,1,0.00314691200925023,0.0608564500479017,0.00314691200925023,0.00484660121048849
"ST+pocket",0.00314691200925023,0.00323167322080157,0.00331778042978762,0.00484660121048849,0.00331778042978762,0.00298141772216118,0.00477182171379712,0.00230937033398018,0.242470323054276,0.00477182171379712,1,0.00492203567532315,0.00314691200925023,0.00477182171379712,0.308511581338723,0.00484660121048849
"ST+Pocket+Text",0.0144681534388946,0.0147425829227862,0.00116550116550117,0.808197461322905,0.00116550116550117,0.664310210453792,0.00492203567532315,0.268776271101402,0.00331778042978762,1,0.00492203567532315,1,0.00323167322080157,0.0521350877247165,0.00323167322080157,0.00499812476508246
"ST+SG",0.00197525752520928,0.00202167806325161,0.00206877862166875,0.00318912451057108,0.00206877862166875,0.00188444652416549,0.00314691200925023,0.00137573578468112,0.00202167806325161,0.00314691200925023,0.00314691200925023,0.00323167322080157,1,0.00314691200925023,0.00197525752520928,0.00318912451057108
"ST+SG+Text",0.661614987977276,0.00323167322080157,0.00331778042978762,0.0334399070883118,0.00331778042978762,0.164532065724582,0.00477182171379712,0.395082803931657,0.00323167322080157,0.0608564500479017,0.00477182171379712,0.0521350877247165,0.00314691200925023,1,0.00314691200925023,0.00484660121048849
"SG+ST+Pocket",0.00197525752520928,0.00202167806325161,0.00206877862166875,0.00318912451057108,0.00206877862166875,0.00188444652416549,0.00314691200925023,0.00137573578468112,0.795869140159587,0.00314691200925023,0.308511581338723,0.00323167322080157,0.00197525752520928,0.00314691200925023,1,0.00318912451057108
"ESM2",0.00318912451057108,0.00327455843386829,0.00336133947476503,0.00492203567532315,0.00336133947476503,0.00302228860875729,0.00484660121048849,0.00233541799146005,0.00327455843386829,0.00484660121048849,0.00484660121048849,0.00499812476508246,0.00318912451057108,0.00484660121048849,0.00318912451057108,1
