"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.999538590308741,0.999008422317996,0.00159456225528554,0.00161583661040078,0.00251546738472522,0.00157345600462511,0.217511615381615
"Text",0.998976549301978,0.998979375960937,0.00163727921693415,0.00165889021489381,0.00163727921693415,0.00161583661040078,0.000680998845593999
"Pocket",0.999518609524448,0.998949800883173,0.998949800883173,1,0.998949800883173,0.5,0.999538590308741
"Pocket+Text",0.999237571582805,0.998524436996667,0.00246101783766158,0.00249906238254123,0.00246101783766158,0.00242330060524425,0.00112890870715725
"SG",0.999518609524448,0.998949800883173,0.998949800883173,1,0.998949800883173,0.998964654657048,0.999538590308741
"SG+Text",0.999558004953453,0.999064938462569,0.00151114430437865,0.00153174719374418,0.00151114430437865,0.00149070886108059,0.0081545859388775
"SG+Pocket",0.999246716281979,0.998549467101319,0.998549467101319,0.998524436996667,0.998549467101319,0.998574239017664,0.999282584393624
"OneProt-4",0.99968774128534,0.999246716281979,0.00116770899573003,0.00118082340084609,0.00116770899573003,0.00115468516699009,0.00714374481786422
"ST",0.999528671093998,0.998979375960937,0.998979375960937,0.998964654657048,0.998979375960937,0.00161583661040078,0.999548367986284
"ST+Text",0.999246716281979,0.998549467101319,0.00242330060524425,0.00246101783766158,0.00242330060524425,0.00238591085689856,0.00786704501540044
"ST+pocket",0.999246716281979,0.998549467101319,0.998549467101319,0.998524436996667,0.998549467101319,0.00238591085689856,0.999282584393624
"ST+Pocket+Text",0.999228355463929,0.998499148326408,0.00249906238254123,0.00108225108225108,0.00249906238254123,0.00246101783766158,0.00139918253137916
"ST+SG",0.999538590308741,0.999008422317996,0.999008422317996,0.998993965083233,0.999008422317996,0.00157345600462511,0.999558004953453
"ST+SG+Text",0.999246716281979,0.998549467101319,0.00242330060524425,0.00246101783766158,0.00242330060524425,0.00238591085689856,0.0729668938214989
"SG+ST+Pocket",0.999538590308741,0.999008422317996,0.999008422317996,0.998993965083233,0.999008422317996,0.00157345600462511,0.999558004953453
