"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",0.526635632675948,0.999349264750204,0.00103438931083437,0.996106839964668,0.00103438931083437,0.964385395505657,0.00157345600462511,0.955673589418698,0.0010108390316258,0.97828301844712,0.00157345600462511,0.995191066921375,0.00098762876260464,0.720248327864568,0.00098762876260464,0.00159456225528554
"Text",0.0010108390316258,0.526138446354574,0.00105828080128529,0.00317322134048099,0.00105828080128529,0.00171197924537678,0.00161583661040078,0.00152998776124434,0.00103438931083437,0.00161583661040078,0.00161583661040078,0.0073712914613931,0.0010108390316258,0.00161583661040078,0.0010108390316258,0.00163727921693415
"Pocket",0.999332893662046,0.999316255631461,0.525668101220341,0.998949800883173,0.000291375291375291,0.9993653703734,0.00165889021489381,0.999523658154312,0.999316255631461,0.998964654657048,0.998964654657048,1,0.999332893662046,0.998964654657048,0.999332893662046,0.998949800883173
"Pocket+Text",0.00591207749107561,0.997966849389002,0.00168066973738251,0.532715885435353,0.00168066973738251,0.255439570713663,0.00242330060524425,0.120021869465506,0.00163727921693415,0.342087800219842,0.00242330060524425,0.404098730661453,0.00159456225528554,0.0167199535441559,0.00159456225528554,0.00246101783766158
"SG",0.999332893662046,0.999316255631461,1,0.998949800883173,0.525668101220341,0.9993653703734,0.998964654657048,0.999523658154312,0.999316255631461,0.998964654657048,0.998964654657048,1,0.999332893662046,0.998964654657048,0.999332893662046,0.998949800883173
"SG+Text",0.0474218289968072,0.998881990008361,0.00098762876260464,0.789178394080357,0.00098762876260464,0.527721527625469,0.00149070886108059,0.523429385884901,0.000964757264991691,0.413629673281356,0.00149070886108059,0.718579456159038,0.000942223262082747,0.0822660328622909,0.000942223262082747,0.00151114430437865
"SG+Pocket",0.999022747964983,0.998993965083233,0.998964654657048,0.998549467101319,0.00165889021489381,0.999078740870448,0.533206751852622,0.999255789735604,0.998993965083233,0.998574239017664,0.998574239017664,0.998524436996667,0.999022747964983,0.998574239017664,0.999022747964983,0.998549467101319
"OneProt-4",0.0564683734528333,0.99895729402717,0.000715795241300679,0.904124964634786,0.000715795241300679,0.523429385884901,0.00115468516699009,0.521318268897617,0.000701741140659922,0.782745010287971,0.00115468516699009,0.891768708533372,0.000687867892340562,0.197541401965829,0.000687867892340562,0.00116770899573003
"ST",0.999349264750204,0.999332893662046,0.00105828080128529,0.998979375960937,0.00105828080128529,0.999381212037623,0.00161583661040078,0.999533648444837,0.526138446354574,0.998993965083233,0.90573476374474,0.998964654657048,0.0010108390316258,0.998993965083233,0.651008742713573,0.998979375960937
"ST+Text",0.0303783611618062,0.998993965083233,0.00165889021489381,0.715484956553674,0.00165889021489381,0.641957665309225,0.00238591085689856,0.257443246789223,0.00161583661040078,0.533206751852622,0.00238591085689856,0.564626109530493,0.00157345600462511,0.0304282250239509,0.00157345600462511,0.00242330060524425
"ST+pocket",0.999022747964983,0.998993965083233,0.00165889021489381,0.998549467101319,0.00165889021489381,0.999078740870448,0.00238591085689856,0.999255789735604,0.121235161527138,0.998574239017664,0.533206751852622,0.998524436996667,0.00157345600462511,0.998574239017664,0.154255790669362,0.998549467101319
"ST+Pocket+Text",0.00723407671944729,0.995089816681413,0.000582750582750583,0.65710936737914,0.000582750582750583,0.332155105226896,0.00246101783766158,0.134388135550701,0.00165889021489381,0.5,0.00246101783766158,0.532246162773191,0.00161583661040078,0.0260675438623582,0.00161583661040078,0.00249906238254123
"ST+SG",0.9993653703734,0.999349264750204,0.00103438931083437,0.999008422317996,0.00103438931083437,0.99939679127737,0.00157345600462511,0.999543496788202,0.999349264750204,0.999022747964983,0.999022747964983,0.998993965083233,0.526635632675948,0.999022747964983,0.9993653703734,0.999008422317996
"ST+SG+Text",0.330807493988638,0.998993965083233,0.00165889021489381,0.98899972862659,0.00165889021489381,0.937768103158311,0.00238591085689856,0.83677072383042,0.00161583661040078,0.979202030914902,0.00238591085689856,0.982304291785121,0.00157345600462511,0.533206751852622,0.00157345600462511,0.00242330060524425
"SG+ST+Pocket",0.9993653703734,0.999349264750204,0.00103438931083437,0.999008422317996,0.00103438931083437,0.99939679127737,0.00157345600462511,0.999543496788202,0.397934570079793,0.999022747964983,0.877753290295433,0.998993965083233,0.00098762876260464,0.999022747964983,0.526635632675948,0.999008422317996
"ESM2",0.999008422317996,0.998979375960937,0.00168066973738251,0.998524436996667,0.00168066973738251,0.999064938462569,0.00242330060524425,0.999246716281979,0.00163727921693415,0.998549467101319,0.00242330060524425,0.998499148326408,0.00159456225528554,0.998549467101319,0.00159456225528554,0.532715885435353
