"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.00116550116550117,0.00331778042978762,0.00751272634877597,0.0197275922464557,0.00238805702424253,0.00216450216450216,0.0195887872912736
"Text",0.00143159048260136,0.00140348228131984,0.000611406809113708,0.00185900689155384,0.000914847910263604,0.00236164680169218,0.00285974019594737
"Pocket",0.00323167322080157,0.00314691200925023,0.00167363596270264,0.00225781741431451,0.00228350356475037,0.00477182171379712,0.00469769748933007
"Pocket+Text",0.00214070973158512,0.00209258466211306,0.957382219463584,0.561432373694598,0.00311318287823277,0.00336133947476503,0.828457702377467
"SG",0.000310800310800311,0.00143159048260136,0.000620969920264772,0.000922886379454514,0.000930972271575002,0.000666000666000666,0.00238805702424253
"SG+Text",0.00336133947476503,0.00327455843386829,0.31078878068226,0.105427997716365,0.00289073046984701,0.00499812476508246,0.197816561253745
"SG+Pocket",0.00116550116550117,0.00331778042978762,0.00173943010959051,0.00236164680169218,0.00238805702424253,0.00216450216450216,0.00499812476508246
"OneProt-4",0.000748988756015032,0.000737787352815038,0.00753031679954676,0.0183014691859056,0.000439567454178243,0.00135325429418794,0.0295767145854372
"ST",0.00214070973158512,0.00209258466211306,0.000998028526837708,0.00141749107279779,0.00212437344409943,0.115080304397172,0.00331778042978762
"ST+Text",0.00144578070089475,0.00141749107279779,0.629375469226274,1,0.00159071926256636,0.00238805702424253,0.844756603155769
"ST+pocket",0.00101540151763768,0.000998028526837708,0.000398259578997601,0.000616175518027334,0.000881387800431699,0.0130819839304307,0.00173943010959051
"ST+Pocket+Text",0.00204514318801797,0.00199838294475787,0.337904019103005,0.17930089821157,0.00198997831331969,0.00318912451057108,0.300100773136592
"ST+SG",0.00116550116550117,0.00331778042978762,0.00173943010959051,0.00236164680169218,0.00545780374384052,0.0102718377307058,0.00499812476508246
"ST+SG+Text",0.00336133947476503,0.00327455843386829,0.678082335311528,0.742475056569377,0.00236164680169218,0.00499812476508246,0.935962472920943
"SG+ST+Pocket",0.00214070973158512,0.00209258466211306,0.000998028526837708,0.00141749107279779,0.00212437344409943,0.0219045054816392,0.00331778042978762
