"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",1,0.0800227241115635,0.00477182171379712,0.0177783729687014,0.000666000666000666,0.0101388948727646,0.00216450216450216,0.585935988262992,0.00336133947476503,0.0700824112940054,0.00175613253408733,0.00318912451057108,0.00216450216450216,0.0200223867508669,0.00336133947476503,0.00751272634877597
"Text",0.0800227241115635,1,0.00225781741431451,0.00253008999479249,0.000922886379454514,0.00233541799146005,0.00236164680169218,0.0613822847185399,0.00141749107279779,0.00845642205485807,0.000616175518027334,0.001361997691188,0.00236164680169218,0.00433420159520115,0.00141749107279779,0.000611406809113708
"Pocket",0.00477182171379712,0.00225781741431451,1,0.00318912451057108,0.00230937033398018,0.00469769748933007,0.934925311642117,0.0013092940310617,0.00318912451057108,0.00228350356475037,0.00168993252373719,0.00302228860875729,0.00477182171379712,0.00469769748933007,0.00318912451057108,0.00167363596270264
"Pocket+Text",0.0177783729687014,0.00253008999479249,0.00318912451057108,1,0.00144578070089475,0.387425431787175,0.00336133947476503,0.016603941786918,0.00211656160257058,0.521836449879262,0.00100668995330391,0.650382993762219,0.00336133947476503,0.615125914752179,0.00211656160257058,0.957382219463584
"SG",0.000666000666000666,0.000922886379454514,0.00230937033398018,0.00144578070089475,1,0.00238805702424253,0.000666000666000666,0.000442586351368153,0.00144578070089475,0.000930972271575002,0.000625790079642251,0.00138956391640281,0.000666000666000666,0.00238805702424253,0.00144578070089475,0.000620969920264772
"SG+Text",0.0101388948727646,0.00233541799146005,0.00469769748933007,0.387425431787175,0.00238805702424253,1,0.00499812476508246,0.00641660019246849,0.00331778042978762,0.172865439468621,0.00173943010959051,0.515075514747954,0.00499812476508246,0.0533970603019902,0.00331778042978762,0.31078878068226
"SG+Pocket",0.00216450216450216,0.00236164680169218,0.934925311642117,0.00336133947476503,0.000666000666000666,0.00499812476508246,1,0.00135325429418794,0.00336133947476503,0.00238805702424253,0.00175613253408733,0.00318912451057108,0.00216450216450216,0.00499812476508246,0.00336133947476503,0.00173943010959051
"OneProt-4",0.585935988262992,0.0613822847185399,0.0013092940310617,0.016603941786918,0.000442586351368153,0.00641660019246849,0.00135325429418794,1,0.00074337362636984,0.0902034954341509,0.0002728488113337,0.00445390036707014,0.00135325429418794,0.025849966227212,0.00074337362636984,0.00753031679954676
"ST",0.00336133947476503,0.00141749107279779,0.00318912451057108,0.00211656160257058,0.00144578070089475,0.00331778042978762,0.00336133947476503,0.00074337362636984,1,0.00143159048260136,0.287685237805912,0.00202167806325161,0.283314481334501,0.00331778042978762,0.700221056940895,0.000998028526837708
"ST+Text",0.0700824112940054,0.00845642205485807,0.00228350356475037,0.521836449879262,0.000930972271575002,0.172865439468621,0.00238805702424253,0.0902034954341509,0.00143159048260136,1,0.000620969920264772,0.408526263254822,0.00238805702424253,1,0.00143159048260136,0.629375469226274
"ST+pocket",0.00175613253408733,0.000616175518027334,0.00168993252373719,0.00100668995330391,0.000625790079642251,0.00173943010959051,0.00175613253408733,0.0002728488113337,0.287685237805912,0.000620969920264772,1,0.00097234394055906,0.76726673689974,0.00173943010959051,0.393953319271201,0.000398259578997601
"ST+Pocket+Text",0.00318912451057108,0.001361997691188,0.00302228860875729,0.650382993762219,0.00138956391640281,0.515075514747954,0.00318912451057108,0.00445390036707014,0.00202167806325161,0.408526263254822,0.00097234394055906,1,0.00318912451057108,0.24849720369217,0.00202167806325161,0.337904019103005
"ST+SG",0.00216450216450216,0.00236164680169218,0.00477182171379712,0.00336133947476503,0.000666000666000666,0.00499812476508246,0.00216450216450216,0.00135325429418794,0.283314481334501,0.00238805702424253,0.76726673689974,0.00318912451057108,1,0.00499812476508246,0.132010760338105,0.00173943010959051
"ST+SG+Text",0.0200223867508669,0.00433420159520115,0.00469769748933007,0.615125914752179,0.00238805702424253,0.0533970603019902,0.00499812476508246,0.025849966227212,0.00331778042978762,1,0.00173943010959051,0.24849720369217,0.00499812476508246,1,0.00331778042978762,0.678082335311528
"SG+ST+Pocket",0.00336133947476503,0.00141749107279779,0.00318912451057108,0.00211656160257058,0.00144578070089475,0.00331778042978762,0.00336133947476503,0.00074337362636984,0.700221056940895,0.00143159048260136,0.393953319271201,0.00202167806325161,0.132010760338105,0.00331778042978762,1,0.000998028526837708
"ESM2",0.00751272634877597,0.000611406809113708,0.00167363596270264,0.957382219463584,0.000620969920264772,0.31078878068226,0.00173943010959051,0.00753031679954676,0.000998028526837708,0.629375469226274,0.000398259578997601,0.337904019103005,0.00173943010959051,0.678082335311528,0.000998028526837708,1
