"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",1,0.998964654657048,0.00375636317438799,0.00986379612322785,0.00119402851212126,0.00108225108225108,0.00979439364563682
"Text",0.999523658154312,0.999533648444837,0.000305703404556854,0.000929503445776918,0.000457423955131802,0.00118082340084609,0.00142987009797368
"Pocket",0.998993965083233,0.999022747964983,0.999445591711296,0.999273723612459,0.999264792119763,0.998574239017664,0.99859875314057
"Pocket+Text",0.999307836058853,0.999324608105784,0.563684186412954,0.757054266313837,0.00155659143911639,0.00168066973738251,0.641000138450152
"SG",1,0.999523658154312,0.999783157013825,0.999684831437793,0.999681902895025,1,0.999228355463929
"SG+Text",0.998949800883173,0.998979375960937,0.87135332135359,0.959821352044331,0.0014453652349235,0.00249906238254123,0.926299348916052
"SG+Pocket",1,0.998964654657048,0.999422207738403,0.999237571582805,0.999228355463929,1,0.998499148326408
"OneProt-4",0.999738507209706,0.999742631535113,0.00376515839977338,0.00915073459295279,0.000219783727089122,0.000676627147093971,0.0147883572927186
"ST",0.999307836058853,0.999324608105784,0.999659661058821,0.999528671093998,0.999284204758699,0.0575401521985858,0.998964654657048
"ST+Text",0.999518609524448,0.999528671093998,0.314687734613137,0.52106318988918,0.00079535963128318,0.00119402851212126,0.422378301577885
"ST+pocket",0.999653370726575,0.999659661058821,0.999858160467482,0.999784920534754,0.999689515039868,0.00654099196521536,0.999422207738403
"ST+Pocket+Text",0.999341112482256,0.999357350651466,0.856515481779323,0.927811738400835,0.000994989156659844,0.00159456225528554,0.881842616820445
"ST+SG",1,0.998964654657048,0.999422207738403,0.999237571582805,0.998180879084147,0.00513591886535288,0.998499148326408
"ST+SG+Text",0.998949800883173,0.998979375960937,0.339041167655764,0.677244940596945,0.00118082340084609,0.00249906238254123,0.467981236460471
"SG+ST+Pocket",0.999307836058853,0.999324608105784,0.999659661058821,0.999528671093998,0.999284204758699,0.0109522527408196,0.998964654657048
