"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",0.532246162773191,0.969961284656708,0.00238591085689856,0.00888918648435072,0.000333000333000333,0.00506944743638229,0.00108225108225108,0.292967994131496,0.00168066973738251,0.0350412056470027,0.000878066267043665,0.00159456225528554,0.00108225108225108,0.0100111933754334,0.00168066973738251,0.00375636317438799
"Text",0.0400113620557817,0.521318268897617,0.00112890870715725,0.00126504499739624,0.000461443189727257,0.00116770899573003,0.00118082340084609,0.0306911423592699,0.000708745536398896,0.00422821102742904,0.000308087759013667,0.000680998845593999,0.00118082340084609,0.00216710079760058,0.000708745536398896,0.000305703404556854
"Pocket",0.998574239017664,0.999273723612459,0.534258640240592,0.999008422317996,0.00115468516699009,0.99859875314057,0.59675202974633,0.999554536611489,0.999008422317996,0.999264792119763,0.999439805691233,0.999064938462569,0.998574239017664,0.99859875314057,0.999008422317996,0.999445591711296
"Pocket+Text",0.994028948091233,0.999143252156291,0.00159456225528554,0.525900071290706,0.000722890350447377,0.193712715893587,0.00168066973738251,0.99366891842201,0.00105828080128529,0.775467520367619,0.000503344976651955,0.32519149688111,0.00168066973738251,0.740995885240076,0.00105828080128529,0.563684186412954
"SG",1,0.999684831437793,0.999255789735604,0.999518609524448,0.52106318988918,0.999228355463929,1,0.999842255849183,0.999518609524448,0.999681902895025,0.999781383288902,0.999538590308741,1,0.999228355463929,0.999518609524448,0.999783157013825
"SG+Text",0.996850024461472,0.999246716281979,0.00234884874466504,0.843355582921099,0.00119402851212126,0.532715885435353,0.00249906238254123,0.997706736775538,0.00165889021489381,0.932264239941675,0.000869715054795257,0.786871119960416,0.00249906238254123,0.981810709813934,0.00165889021489381,0.87135332135359
"SG+Pocket",1,0.999237571582805,0.467462655821059,0.998949800883173,0.000333000333000333,0.998499148326408,0.532246162773191,0.999538602714958,0.998949800883173,0.999228355463929,0.999416261453572,0.999008422317996,1,0.998499148326408,0.998949800883173,0.999422207738403
"OneProt-4",0.74334153698432,0.974991239636514,0.00065464701553085,0.00830197089345899,0.000221293175684077,0.00320830009623425,0.000676627147093971,0.515224485176494,0.00037168681318492,0.0451017477170755,0.00013642440566685,0.00222695018353507,0.000676627147093971,0.012924983113606,0.00037168681318492,0.00376515839977338
"ST",0.998949800883173,0.999528671093998,0.00159456225528554,0.999316255631461,0.000722890350447377,0.998964654657048,0.00168066973738251,0.999740575109079,0.525900071290706,0.999523658154312,0.878905848642786,0.999349264750204,0.887999374108714,0.998964654657048,0.696151209434945,0.999659661058821
"ST+Text",0.973856410630829,0.996915050339728,0.00114175178237518,0.260918224939631,0.000465486135787501,0.0864327197343106,0.00119402851212126,0.962747547229573,0.000715795241300679,0.521189577995396,0.000310484960132386,0.204263131627411,0.00119402851212126,0.525847449133899,0.000715795241300679,0.314687734613137
"ST+pocket",0.999416261453572,0.999784920534754,0.000844966261868593,0.999656525793002,0.000312895039821126,0.999422207738403,0.000878066267043665,0.999901015543159,0.143842618902956,0.999783157013825,0.517839491087834,0.999668948613249,0.660684803237901,0.999422207738403,0.196976659635601,0.999858160467482
"ST+Pocket+Text",0.999008422317996,0.999548367986284,0.00151114430437865,0.719960622378235,0.000694781958201405,0.257537757373977,0.00159456225528554,0.998370332536921,0.0010108390316258,0.827558183276356,0.00048617197027953,0.526895106516349,0.00159456225528554,0.902900676694433,0.0010108390316258,0.856515481779323
"ST+SG",1,0.999237571582805,0.00238591085689856,0.998949800883173,0.000333000333000333,0.998499148326408,0.00108225108225108,0.999538602714958,0.141657240667251,0.999228355463929,0.38363336844987,0.999008422317996,0.532246162773191,0.998499148326408,0.0660053801690523,0.999422207738403
"ST+SG+Text",0.993546714790173,0.998570129902026,0.00234884874466504,0.30756295737609,0.00119402851212126,0.0266985301509951,0.00249906238254123,0.990284661209637,0.00165889021489381,0.525847449133899,0.000869715054795257,0.124248601846085,0.00249906238254123,0.532715885435353,0.00165889021489381,0.339041167655764
"SG+ST+Pocket",0.998949800883173,0.999528671093998,0.00159456225528554,0.999316255631461,0.000722890350447377,0.998964654657048,0.00168066973738251,0.999740575109079,0.350110528470447,0.999523658154312,0.831227850428208,0.999349264750204,0.950494703286307,0.998964654657048,0.525900071290706,0.999659661058821
"ESM2",0.997381061891556,0.999786673881471,0.000836817981351322,0.478691109731792,0.000310484960132386,0.15539439034113,0.000869715054795257,0.997062367576037,0.000499014263418854,0.718748353824483,0.0001991297894988,0.168952009551503,0.000869715054795257,0.70321715906977,0.000499014263418854,0.517915514970041
