"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.00503093476945043,0.00327455843386829,0.00102416333240454,0.00214070973158512,0.00336133947476503,0.00336133947476503,0.683836294893304
"Text",0.0200223867508669,0.00492203567532315,0.0003996003996004,0.00116550116550117,0.00216450216450216,0.00216450216450216,0.559544590388885
"Pocket",0.00167363596270264,0.00165744041672853,0.000395493832992502,0.000980855634434974,0.00168993252373719,0.00523787621688802,0.000606663729541409
"Pocket+Text",0.00951739476707901,0.00314691200925023,0.000998028526837708,0.00206877862166875,0.00323167322080157,0.00323167322080157,0.0628908713074342
"SG",0.00331778042978762,0.00327455843386829,0.00102416333240454,0.00214070973158512,0.00336133947476503,0.00336133947476503,0.00144578070089475
"SG+Text",0.87143601181082,0.00484660121048849,0.0109937520924808,0.00336133947476503,0.0129065704196534,0.00499812476508246,0.15467085183771
"SG+Pocket",0.00336133947476503,0.00331778042978762,0.000174825174825175,0.000582750582750583,0.00116550116550117,0.00116550116550117,0.000310800310800311
"OneProt-4",0.00255382599156562,0.00251694113256294,0.000866170430956193,0.00171087065119597,0.00259104038624234,0.00259104038624234,0.857580226556013
"ST",0.00492203567532315,0.00484660121048849,0.00177293686609683,0.085611679386114,0.00499812476508246,0.00499812476508246,0.00238805702424253
"ST+Text",0.0065268011630066,0.00233541799146005,0.000630636059809067,0.00144578070089475,0.00238805702424253,0.00238805702424253,0.051512123892156
"ST+pocket",0.00484660121048849,0.00477182171379712,0.0045677605135768,0.00521573091114377,0.0291924598728087,0.00492203567532315,0.00236164680169218
"ST+Pocket+Text",0.0521350877247165,0.00462422880149912,0.00308118679637024,0.00323167322080157,0.00602733675058573,0.00477182171379712,0.600734088653242
"ST+SG",0.00469769748933007,0.00462422880149912,0.00172282941777669,0.00401513007441865,0.00477182171379712,0.466456747921608,0.00230937033398018
"ST+SG+Text",0.113573382217723,0.00331778042978762,0.00253626803416911,0.000582750582750583,0.00233100233100233,0.00116550116550117,0.861696828608234
"SG+ST+Pocket",0.00499812476508246,0.00492203567532315,0.0003996003996004,0.35178476518308,0.00216450216450216,0.00216450216450216,0.000666000666000666
