"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",1,0.665194430565355,0.00097234394055906,0.0338098257556604,0.00211656160257058,0.0524701595395044,0.00214070973158512,1,0.00331778042978762,0.031662434989485,0.00327455843386829,0.382054196876022,0.00318912451057108,0.478800398559604,0.00336133947476503,0.00102416333240454
"Text",0.665194430565355,1,0.00168993252373719,0.130402238133374,0.00336133947476503,0.0641395634427797,0.00116550116550117,0.49826789524295,0.00499812476508246,0.119696628911271,0.00492203567532315,0.934925311642117,0.00477182171379712,0.35178476518308,0.00216450216450216,0.0003996003996004
"Pocket",0.00097234394055906,0.00168993252373719,1,0.000947106488843488,0.00097234394055906,0.00167363596270264,0.000980855634434974,0.00081992712928493,0.00167363596270264,0.000601946215162383,0.00165744041672853,0.00162535163214758,0.0200588650091853,0.000980855634434974,0.00168993252373719,0.000395493832992502
"Pocket+Text",0.0338098257556604,0.130402238133374,0.000947106488843488,1,0.00204514318801797,0.00951739476707901,0.00206877862166875,0.0256255799575766,0.00318912451057108,0.905925143696275,0.00314691200925023,0.169967907602276,0.00306349438748836,0.017456952259804,0.00323167322080157,0.000998028526837708
"SG",0.00211656160257058,0.00336133947476503,0.00097234394055906,0.00204514318801797,1,0.00331778042978762,0.00214070973158512,0.00168992118371671,0.00331778042978762,0.00143159048260136,0.00327455843386829,0.00318912451057108,0.00318912451057108,0.00214070973158512,0.00336133947476503,0.00102416333240454
"SG+Text",0.0524701595395044,0.0641395634427797,0.00167363596270264,0.00951739476707901,0.00331778042978762,1,0.00336133947476503,0.0469520664933394,0.00492203567532315,0.00958245730235286,0.00484660121048849,0.124859563396934,0.00469769748933007,0.249819364694559,0.00499812476508246,0.0109937520924808
"SG+Pocket",0.00214070973158512,0.00116550116550117,0.000980855634434974,0.00206877862166875,0.00214070973158512,0.00336133947476503,1,0.00171087065119597,0.00336133947476503,0.00144578070089475,0.00331778042978762,0.00323167322080157,0.00323167322080157,0.000582750582750583,0.00116550116550117,0.000174825174825175
"OneProt-4",1,0.49826789524295,0.00081992712928493,0.0256255799575766,0.00168992118371671,0.0469520664933394,0.00171087065119597,1,0.00255382599156562,0.0155980040569584,0.00251694113256294,0.0963036920286883,0.0024441578261629,0.594306707014801,0.00259104038624234,0.000866170430956193
"ST",0.00331778042978762,0.00499812476508246,0.00167363596270264,0.00318912451057108,0.00331778042978762,0.00492203567532315,0.00336133947476503,0.00255382599156562,1,0.00236164680169218,0.0289058098762543,0.00469769748933007,0.00469769748933007,0.00336133947476503,0.126200200957601,0.00177293686609683
"ST+Text",0.031662434989485,0.119696628911271,0.000601946215162383,0.905925143696275,0.00143159048260136,0.00958245730235286,0.00144578070089475,0.0155980040569584,0.00236164680169218,1,0.00233541799146005,0.150553962761612,0.00228350356475037,0.0173693640086943,0.00238805702424253,0.000630636059809067
"ST+pocket",0.00327455843386829,0.00492203567532315,0.00165744041672853,0.00314691200925023,0.00327455843386829,0.00484660121048849,0.00331778042978762,0.00251694113256294,0.0289058098762543,0.00233541799146005,1,0.00462422880149912,0.00462422880149912,0.00331778042978762,0.00492203567532315,0.0045677605135768
"ST+Pocket+Text",0.382054196876022,0.934925311642117,0.00162535163214758,0.169967907602276,0.00318912451057108,0.124859563396934,0.00323167322080157,0.0963036920286883,0.00469769748933007,0.150553962761612,0.00462422880149912,1,0.00447925889184641,0.276597687569621,0.00477182171379712,0.00308118679637024
"ST+SG",0.00318912451057108,0.00477182171379712,0.0200588650091853,0.00306349438748836,0.00318912451057108,0.00469769748933007,0.00323167322080157,0.0024441578261629,0.00469769748933007,0.00228350356475037,0.00462422880149912,0.00447925889184641,1,0.00323167322080157,0.00477182171379712,0.00172282941777669
"ST+SG+Text",0.478800398559604,0.35178476518308,0.000980855634434974,0.017456952259804,0.00214070973158512,0.249819364694559,0.000582750582750583,0.594306707014801,0.00336133947476503,0.0173693640086943,0.00331778042978762,0.276597687569621,0.00323167322080157,1,0.00116550116550117,0.00253626803416911
"SG+ST+Pocket",0.00336133947476503,0.00216450216450216,0.00168993252373719,0.00323167322080157,0.00336133947476503,0.00499812476508246,0.00116550116550117,0.00259104038624234,0.126200200957601,0.00238805702424253,0.00492203567532315,0.00477182171379712,0.00477182171379712,0.00116550116550117,1,0.0003996003996004
"ESM2",0.00102416333240454,0.0003996003996004,0.000395493832992502,0.000998028526837708,0.00102416333240454,0.0109937520924808,0.000174825174825175,0.000866170430956193,0.00177293686609683,0.000630636059809067,0.0045677605135768,0.00308118679637024,0.00172282941777669,0.00253626803416911,0.0003996003996004,1
