"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.00251546738472522,0.998979375960937,0.000512081666202269,0.00107035486579256,0.00168066973738251,0.00168066973738251,0.341918147446652
"Text",0.0100111933754334,0.998524436996667,0.0001998001998002,0.000582750582750583,0.00108225108225108,0.00108225108225108,0.279772295194442
"Pocket",0.999445591711296,0.999451337919136,0.999859192225162,0.99966587241269,0.999439805691233,0.998197696270002,0.99978841708381
"Pocket+Text",0.0047586973835395,0.999022747964983,0.000499014263418854,0.00103438931083437,0.00161583661040078,0.00161583661040078,0.0314454356537171
"SG",0.998964654657048,0.998979375960937,0.99965019580377,0.999307836058853,0.998949800883173,0.998949800883173,0.999518609524448
"SG+Text",0.626905844175539,0.998549467101319,0.00549687604624041,0.00168066973738251,0.00645328520982672,0.00249906238254123,0.939741763685349
"SG+Pocket",0.998949800883173,0.998964654657048,1,1,1,1,1
"OneProt-4",0.00127691299578281,0.999234329305371,0.000433085215478096,0.000855435325597985,0.00129552019312117,0.00129552019312117,0.428790113278007
"ST",0.998524436996667,0.998549467101319,0.999410274852012,0.042805839693057,0.998499148326408,0.00249906238254123,0.999228355463929
"ST+Text",0.0032634005815033,0.999246716281979,0.000315318029904533,0.000722890350447377,0.00119402851212126,0.00119402851212126,0.025756061946078
"ST+pocket",0.998549467101319,0.998574239017664,0.998432605889037,0.00260786545557188,0.990420538629733,0.00246101783766158,0.999237571582805
"ST+Pocket+Text",0.0260675438623582,0.998623009882618,0.00154059339818512,0.00161583661040078,0.00301366837529287,0.00238591085689856,0.300367044326621
"ST+SG",0.99859875314057,0.998623009882618,0.999428113806032,0.998739540495515,0.998574239017664,0.813291474822155,0.999255789735604
"ST+SG+Text",0.0567866911088617,0.998964654657048,0.00126813401708455,0.000291375291375291,0.00116550116550117,0.000582750582750583,0.614228673221357
"SG+ST+Pocket",0.998499148326408,0.998524436996667,1,0.17589238259154,1,0.00108225108225108,1
