"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",0.525900071290706,0.718031493712997,0.00048617197027953,0.98780592388177,0.00105828080128529,0.0262350797697522,0.00107035486579256,0.5,0.00165889021489381,0.988237200660785,0.00163727921693415,0.846089264045579,0.00159456225528554,0.239400199279802,0.00168066973738251,0.000512081666202269
"Text",0.332597215282677,0.532246162773191,0.000844966261868593,0.951196465263324,0.00168066973738251,0.0320697817213898,0.000582750582750583,0.249133947621475,0.00249906238254123,0.95407502202061,0.00246101783766158,0.59675202974633,0.00238591085689856,0.17589238259154,0.00108225108225108,0.0001998001998002
"Pocket",0.999668948613249,0.999439805691233,0.518149554048477,0.999678059988523,0.00048617197027953,0.999445591711296,0.000490427817217487,0.99972374264792,0.999445591711296,0.999790150171655,0.999451337919136,0.999462711310666,0.992747110740319,0.99966587241269,0.999439805691233,0.999859192225162
"Pocket+Text",0.0169049128778302,0.065201119066687,0.000473553244421744,0.526635632675948,0.00102257159400898,0.0047586973835395,0.00103438931083437,0.0128127899787883,0.00159456225528554,0.593423228971844,0.00157345600462511,0.0849839538011379,0.00153174719374418,0.00872847612990199,0.00161583661040078,0.000499014263418854
"SG",0.999316255631461,0.998949800883173,0.999668948613249,0.999341112482256,0.525900071290706,0.998964654657048,0.999307836058853,0.999463692926854,0.998964654657048,0.999523658154312,0.998979375960937,0.999008422317996,0.999008422317996,0.999307836058853,0.998949800883173,0.99965019580377
"SG+Text",0.981370045247547,0.977899683076182,0.000836817981351322,0.996899287959667,0.00165889021489381,0.532715885435353,0.00168066973738251,0.983574421837237,0.00246101783766158,0.996736599418497,0.00242330060524425,0.955079615270347,0.00234884874466504,0.902277218846437,0.00249906238254123,0.00549687604624041
"SG+Pocket",0.999307836058853,1,0.99966587241269,0.999332893662046,0.00107035486579256,0.998949800883173,0.525668101220341,0.999456515677142,0.998949800883173,0.999518609524448,0.998964654657048,0.998993965083233,0.998993965083233,1,1,1
"OneProt-4",0.554401985448763,0.796082740043639,0.000409963564642465,0.99093919892181,0.000844960591858354,0.0234760332466697,0.000855435325597985,0.532001469908672,0.00127691299578281,0.994396042998275,0.00125847056628147,0.965178797600836,0.00122207891308145,0.2971533535074,0.00129552019312117,0.000433085215478096
"ST",0.998964654657048,0.998499148326408,0.000836817981351322,0.999008422317996,0.00165889021489381,0.998524436996667,0.00168066973738251,0.999222063586384,0.532715885435353,0.999237571582805,0.990527296212678,0.99859875314057,0.00234884874466504,0.998949800883173,0.0631001004788005,0.999410274852012
"ST+Text",0.0158312174947425,0.0598483144556354,0.000300973107581191,0.452962571848138,0.000715795241300679,0.00479122865117643,0.000722890350447377,0.0077990020284792,0.00118082340084609,0.521189577995396,0.00116770899573003,0.0752769813808062,0.00114175178237518,0.00868468200434714,0.00119402851212126,0.000315318029904533
"ST+pocket",0.998979375960937,0.998524436996667,0.000828720208364264,0.999022747964983,0.00163727921693415,0.998549467101319,0.00165889021489381,0.999234329305371,0.0144529049381271,0.999246716281979,0.533206751852622,0.998623009882618,0.00231211440074956,0.998964654657048,0.00246101783766158,0.998432605889037
"ST+Pocket+Text",0.191027098438011,0.467462655821059,0.000812675816073789,0.935336392723448,0.00159456225528554,0.0624297816984672,0.00161583661040078,0.0481518460143441,0.00234884874466504,0.941590511490847,0.00231211440074956,0.534258640240592,0.00223962944592321,0.13829884378481,0.00238591085689856,0.00154059339818512
"ST+SG",0.999008422317996,0.998574239017664,0.0100294325045927,0.999051005723205,0.00159456225528554,0.99859875314057,0.00161583661040078,0.999258484332187,0.99859875314057,0.999264792119763,0.998623009882618,0.99867075296385,0.534258640240592,0.998993965083233,0.998574239017664,0.999428113806032
"ST+SG+Text",0.798704552007875,0.858674748931343,0.000490427817217487,0.993884743372962,0.00107035486579256,0.12490968234728,0.000291375291375291,0.747216735730054,0.00168066973738251,0.993699180297667,0.00165889021489381,0.891223318246007,0.00161583661040078,0.525668101220341,0.000582750582750583,0.00126813401708455
"SG+ST+Pocket",0.998949800883173,1,0.000844966261868593,0.998993965083233,0.00168066973738251,0.998499148326408,0.000582750582750583,0.99920967186319,0.954508387364967,0.999228355463929,0.998524436996667,0.998574239017664,0.00238591085689856,1,0.532246162773191,1
"ESM2",0.99965019580377,1,0.000197746916496251,0.999659661058821,0.000512081666202269,0.996106537523135,8.74125874125874e-05,0.999707178682101,0.000886468433048413,0.999779599330255,0.0022838802567884,0.998957678593462,0.000861414708888343,0.999110701767132,0.0001998001998002,0.517690302318477
