"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.889675169432403,8.66396682916924e-05,0.73840114302288,0.233517249441521,0.0223239332522486,0.000297612838055809,0.0911255658729239
"Text",0.0639666549133913,0.000540890921628611,0.0276079543320273,0.349638395284647,0.000415594877113455,0.000140433039699912,0.0027014583180355
"Pocket",0.000585143003250435,0.000706386378404777,0.00236164680169218,0.000309972796611605,0.00238805702424253,0.00895473808849933,0.00336133947476503
"Pocket+Text",0.798758714030218,0.000262523467493565,0.961147855167293,0.144351745522098,0.013610459172522,0.000578739864482801,0.149062719707175
"SG",0.000278101035030786,0.000346158515066234,0.00140348228131984,0.000129327317271338,0.00141749107279779,0.134049398663079,0.00209258466211306
"SG+Text",0.0357148508532966,0.00787939553504757,0.0109891817710952,0.109198031695064,0.00159071926256636,0.000852233712772263,0.00372011036772401
"SG+Pocket",7.69296175836784e-05,0.000101776937070253,0.000601946215162383,2.74131454432544e-05,0.0102486007008397,0.00187188070884074,0.0191526007297324
"OneProt-4",0.00699015442184051,0.0642332850935853,0.00504249038362489,0.00699938246387018,0.00121448598398717,0.000565118695240767,0.00401366156125036
"ST",7.75653313328987e-05,0.000102705973795492,0.000611406809113708,2.75530493655535e-05,0.00103175539172933,0.692879638581962,0.00240804046728796
"ST+Text",0.00187907321893883,1.70059756977536e-06,0.00702151846196786,8.78993286829893e-06,0.158269177494048,4.79777276478922e-05,0.675541150869217
"ST+pocket",0.000141050531938993,0.000180910528215864,0.000883165994852691,5.75748558299743e-05,0.00372087690175183,0.304136769741886,0.00300731761044714
"ST+Pocket+Text",0.58040722174005,0.000124454214225338,0.706750156561693,0.0655049829466806,0.0157902558059612,0.000297612838055809,0.234899382721044
"ST+SG",0.155826539200926,6.07088022749097e-05,0.242388458890057,0.00700062947478845,0.0485950869928889,0.000410174716133552,0.555507769280265
"ST+SG+Text",0.0201745923972365,3.70462029619029e-05,0.0547068452613484,0.000685280342250264,0.0804862250911797,0.000297612838055809,0.963522317557728
"SG+ST+Pocket",0.000582328719784098,0.00070254487218511,0.00233541799146005,0.000309139904914402,0.00236164680169218,0.189747539558972,0.00411784714064379
