"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",1,0.0524701595395044,0.00116550116550117,0.654009054162,0.00116550116550117,0.00101540151763768,0.000582750582750583,0.00211656160257058,0.00102416333240454,0.224001251782572,0.00116550116550117,0.261412486014682,0.0149708159977046,0.449883267351228,0.00116550116550117,0.0378002170528049
"Text",0.0524701595395044,1,0.00477182171379712,0.130938950032343,0.00477182171379712,0.00168993252373719,0.00323167322080157,0.011706753067104,0.00170633028198824,0.0434528019922244,0.00477182171379712,0.153950157526229,0.00323167322080157,0.00887776416806815,0.00477182171379712,0.540573098228573
"Pocket",0.00116550116550117,0.00477182171379712,1,0.00336133947476503,0.484848484848485,0.00175613253408733,0.00422206348051077,0.00331778042978762,0.00177293686609683,0.00499812476508246,0.261496176191146,0.00172282941777669,0.00116550116550117,0.00236164680169218,0.335822098321342,0.000862975761249014
"Pocket+Text",0.654009054162,0.130938950032343,0.00336133947476503,1,0.00336133947476503,0.00100668995330391,0.00214070973158512,0.00209258466211306,0.00101540151763768,0.0985429267172174,0.00336133947476503,0.264262098414001,0.00479682771983516,0.117226205656827,0.00336133947476503,0.0810102723597699
"SG",0.00116550116550117,0.00477182171379712,0.484848484848485,0.00336133947476503,1,0.00175613253408733,0.00116550116550117,0.00331778042978762,0.00177293686609683,0.00499812476508246,0.699134199134199,0.00172282941777669,0.00116550116550117,0.00236164680169218,0.17965367965368,0.000862975761249014
"SG+Text",0.00101540151763768,0.00168993252373719,0.00175613253408733,0.00100668995330391,0.00175613253408733,1,0.00101540151763768,0.000998028526837708,0.000403832264974162,0.00173943010959051,0.00175613253408733,0.000395493832992502,0.00101540151763768,0.000616175518027334,0.00175613253408733,0.000139243712187587
"SG+Pocket",0.000582750582750583,0.00323167322080157,0.00422206348051077,0.00214070973158512,0.00116550116550117,0.00101540151763768,1,0.00211656160257058,0.00122403005805711,0.00336133947476503,0.00116550116550117,0.000998028526837708,0.000582750582750583,0.00143159048260136,0.0512820512820513,0.000442145021104109
"OneProt-4",0.00211656160257058,0.011706753067104,0.00331778042978762,0.00209258466211306,0.00331778042978762,0.000998028526837708,0.00211656160257058,1,0.00100668995330391,0.00327455843386829,0.00331778042978762,0.00117364513549078,0.00211656160257058,0.00140348228131984,0.00331778042978762,0.000803414935660746
"ST",0.00102416333240454,0.00170633028198824,0.00177293686609683,0.00101540151763768,0.00177293686609683,0.000403832264974162,0.00122403005805711,0.00100668995330391,1,0.00175613253408733,0.00177293686609683,0.000398259578997601,0.012600953112659,0.000620969920264772,0.00177293686609683,0.000139944282214668
"ST+Text",0.224001251782572,0.0434528019922244,0.00499812476508246,0.0985429267172174,0.00499812476508246,0.00173943010959051,0.00336133947476503,0.00327455843386829,0.00175613253408733,1,0.00499812476508246,0.0382967854413488,0.151997254030742,0.558671290454279,0.00499812476508246,0.00981493964732204
"ST+pocket",0.00116550116550117,0.00477182171379712,0.261496176191146,0.00336133947476503,0.699134199134199,0.00175613253408733,0.00116550116550117,0.00331778042978762,0.00177293686609683,0.00499812476508246,1,0.00172282941777669,0.00116550116550117,0.00236164680169218,0.132034632034632,0.000862975761249014
"ST+Pocket+Text",0.261412486014682,0.153950157526229,0.00172282941777669,0.264262098414001,0.00172282941777669,0.000395493832992502,0.000998028526837708,0.00117364513549078,0.000398259578997601,0.0382967854413488,0.00172282941777669,1,0.00119363150772117,0.0179703240942705,0.00172282941777669,0.317874213686054
"ST+SG",0.0149708159977046,0.00323167322080157,0.00116550116550117,0.00479682771983516,0.00116550116550117,0.00101540151763768,0.000582750582750583,0.00211656160257058,0.012600953112659,0.151997254030742,0.00116550116550117,0.00119363150772117,1,0.0174700957164261,0.00116550116550117,0.000442145021104109
"ST+SG+Text",0.449883267351228,0.00887776416806815,0.00236164680169218,0.117226205656827,0.00236164680169218,0.000616175518027334,0.00143159048260136,0.00140348228131984,0.000620969920264772,0.558671290454279,0.00236164680169218,0.0179703240942705,0.0174700957164261,1,0.00236164680169218,0.00197330816320082
"SG+ST+Pocket",0.00116550116550117,0.00477182171379712,0.335822098321342,0.00336133947476503,0.17965367965368,0.00175613253408733,0.0512820512820513,0.00331778042978762,0.00177293686609683,0.00499812476508246,0.132034632034632,0.00172282941777669,0.00116550116550117,0.00236164680169218,1,0.000862975761249014
"ESM2",0.0378002170528049,0.540573098228573,0.000862975761249014,0.0810102723597699,0.000862975761249014,0.000139243712187587,0.000442145021104109,0.000803414935660746,0.000139944282214668,0.00981493964732204,0.000862975761249014,0.317874213686054,0.000442145021104109,0.00197330816320082,0.000862975761249014,1
