"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",1,0.0498497342920418,0.00104379498518327,0.78796147880152,0.000548603129270122,0.0195065742853675,0.000683318355338514,0.00330045687206132,0.000253063058840139,0.0157294109867046,0.00048950604913897,0.715353966558533,0.240643356906533,0.0791643455577355,0.00103632865438112,0.73840114302288
"Text",0.0498497342920418,1,0.000596494636656363,0.0491311480307785,0.000283274378475847,0.408638418544322,7.82050499905882e-05,0.0308553386357402,7.88487897947126e-05,8.47385009583633e-06,0.000143540796015847,0.0201745923972365,0.00264200415245401,0.000311845646553458,0.000593642523786069,0.0276079543320273
"Pocket",0.00104379498518327,0.000596494636656363,1,0.00175613253408733,0.12986499204151,0.00238805702424253,0.00170633028198824,0.00170633028198824,0.0053617186428038,0.000272883505588068,0.0361046110412747,0.00104379498518327,0.00134217517974151,0.00104379498518327,0.168947021693084,0.00236164680169218
"Pocket+Text",0.78796147880152,0.0491311480307785,0.00175613253408733,1,0.000998028526837708,0.0259564253837803,0.000392741771694541,0.0129907409482496,0.000398259578997601,0.0132931637672593,0.000713058992630231,0.817468256773021,0.342829725841237,0.0778367384841947,0.00173943010959051,0.961147855167293
"SG",0.000548603129270122,0.000283274378475847,0.12986499204151,0.000998028526837708,1,0.00141749107279779,0.00097234394055906,0.00097234394055906,0.0538375795061221,0.000111436321176255,0.481120001127239,0.000548603129270122,0.000732229870272471,0.000548603129270122,1,0.00140348228131984
"SG+Text",0.0195065742853675,0.408638418544322,0.00238805702424253,0.0259564253837803,0.00141749107279779,1,0.000606663729541409,0.206171434883325,0.000616175518027334,0.000138901612470505,0.000891015907586499,0.0142899442455342,0.00277127293927418,0.00103673747329285,0.00236164680169218,0.0109891817710952
"SG+Pocket",0.000683318355338514,7.82050499905882e-05,0.00170633028198824,0.000392741771694541,0.00097234394055906,0.000606663729541409,1,0.000384567345635064,0.0145461177402533,5.14367776725272e-05,0.0102957880538643,0.000185340275208146,0.000309935827269891,0.000185340275208146,0.00637819145063283,0.000601946215162383
"OneProt-4",0.00330045687206132,0.0308553386357402,0.00170633028198824,0.0129907409482496,0.00097234394055906,0.206171434883325,0.000384567345635064,1,0.00039000336008545,0.000113362155295018,0.000587946419235522,0.00292697921964523,0.00160718236035492,0.000777796724894306,0.00168993252373719,0.00504249038362489
"ST",0.000253063058840139,7.88487897947126e-05,0.0053617186428038,0.000398259578997601,0.0538375795061221,0.000616175518027334,0.0145461177402533,0.00039000336008545,1,2.5180167181763e-05,0.354981513870879,0.000187437830209045,0.000269469098950243,0.000187437830209045,0.0749891367875026,0.000611406809113708
"ST+Text",0.0157294109867046,8.47385009583633e-06,0.000272883505588068,0.0132931637672593,0.000111436321176255,0.000138901612470505,5.14367776725272e-05,0.000113362155295018,2.5180167181763e-05,1,0.00010156194081423,0.0255624062064934,0.154522245390288,0.439165096286771,0.000272217921270608,0.00702151846196786
"ST+pocket",0.00048950604913897,0.000143540796015847,0.0361046110412747,0.000713058992630231,0.481120001127239,0.000891015907586499,0.0102957880538643,0.000587946419235522,0.354981513870879,0.00010156194081423,1,0.000357739140720795,0.000592501741479982,0.000357739140720795,0.512994921567838,0.000883165994852691
"ST+Pocket+Text",0.715353966558533,0.0201745923972365,0.00104379498518327,0.817468256773021,0.000548603129270122,0.0142899442455342,0.000185340275208146,0.00292697921964523,0.000187437830209045,0.0255624062064934,0.000357739140720795,1,0.498308282576732,0.163802593709679,0.00103632865438112,0.706750156561693
"ST+SG",0.240643356906533,0.00264200415245401,0.00134217517974151,0.342829725841237,0.000732229870272471,0.00277127293927418,0.000309935827269891,0.00160718236035492,0.000269469098950243,0.154522245390288,0.000592501741479982,0.498308282576732,1,0.544598036679744,0.0013311555034127,0.242388458890057
"ST+SG+Text",0.0791643455577355,0.000311845646553458,0.00104379498518327,0.0778367384841947,0.000548603129270122,0.00103673747329285,0.000185340275208146,0.000777796724894306,0.000187437830209045,0.439165096286771,0.000357739140720795,0.163802593709679,0.544598036679744,1,0.00103632865438112,0.0547068452613484
"SG+ST+Pocket",0.00103632865438112,0.000593642523786069,0.168947021693084,0.00173943010959051,1,0.00236164680169218,0.00637819145063283,0.00168993252373719,0.0749891367875026,0.000272217921270608,0.512994921567838,0.00103632865438112,0.0013311555034127,0.00103632865438112,1,0.00233541799146005
"ESM2",0.73840114302288,0.0276079543320273,0.00236164680169218,0.961147855167293,0.00140348228131984,0.0109891817710952,0.000601946215162383,0.00504249038362489,0.000611406809113708,0.00702151846196786,0.000883165994852691,0.706750156561693,0.242388458890057,0.0547068452613484,0.00233541799146005,1
