"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.576990885286287,0.999966032148783,0.36920057151144,0.891523156148601,0.0111619666261243,0.000148806419027904,0.0455627829364619
"Text",0.0319833274566956,0.999774570004758,0.0138039771660137,0.174819197642324,0.000207797438556727,7.02165198499559e-05,0.00135072915901775
"Pocket",0.999785251236898,0.999744634888566,0.999237571582805,0.999879036231876,0.999228355463929,0.996969530004436,0.998949800883173
"Pocket+Text",0.625020095980716,0.999899075141471,0.558094408812941,0.934383767598012,0.00680522958626101,0.000289369932241401,0.0745313598535873
"SG",0.999896302617123,0.99987269061506,0.999533648444837,0.999948989013692,0.999528671093998,0.947189025129827,0.999324608105784
"SG+Text",0.0178574254266483,0.996833230016003,0.00549459088554761,0.0545990158475319,0.00079535963128318,0.000426116856386132,0.001860055183862
"SG+Pocket",0.999970531827556,0.99996146313494,0.999790150171655,0.999988986990956,0.996141496318547,0.000935940354420371,0.99283786116674
"OneProt-4",0.00349507721092025,0.972434993667971,0.00252124519181244,0.00349969123193509,0.000607242991993586,0.000282559347620384,0.00200683078062518
"ST",0.999970280820103,0.999961099701682,0.999786673881471,0.999988929512378,0.999635246383843,0.346439819290981,0.999158551117808
"ST+Text",0.999166820286762,0.999999293104847,0.996994410345984,0.999996147187448,0.0791345887470242,2.39888638239461e-05,0.682379354008683
"ST+pocket",0.999946666003911,0.999932454162287,0.999699194828783,0.999977073228815,0.998678158352599,0.871973868401612,0.998976549301978
"ST+Pocket+Text",0.728429141620211,0.999950965651659,0.677180765342698,0.970294021946887,0.00789512790298058,0.000148806419027904,0.117449691360522
"ST+SG",0.930347487574859,0.999976715400449,0.895978266085622,0.996955165676554,0.0242975434964444,0.000205087358066776,0.277753884640132
"ST+SG+Text",0.991305939756212,0.999985632732704,0.977503909795213,0.999707694113726,0.0402431125455898,0.000148806419027904,0.554564355392232
"SG+ST+Pocket",0.999786331220824,0.999746091879196,0.999246716281979,0.999879372183694,0.999237571582805,0.9254135283905,0.998704214914027
