"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.988111919890425,0.99965019580377,0.984682841589866,0.797919940899001,0.0131118881118881,0.00050770075881884,0.0366161616161616
"Text",0.720664354772861,0.999433979756675,0.270286549114287,0.110719151418869,0.0129885708724298,0.000844966261868593,0.00377311724522586
"Pocket",1,0.999410274852012,0.999693296461896,0.998949800883173,1,0.983528475850461,1
"Pocket+Text",0.981548023193141,0.999653370726575,0.966372706258068,0.673174246685006,0.0089167827624125,0.000503344976651955,0.0111384449849269
"SG",1,0.999410274852012,0.999693296461896,0.998949800883173,1,0.99813614784329,1
"SG+Text",0.000312895039821126,0.994876708432022,6.96218560937934e-05,0.000503344976651955,0.00050770075881884,0.000200519522341274,0.00164211259282505
"SG+Pocket",1,0.99965019580377,0.999839801069836,0.99373954408916,1,0.0083731745450999,1
"OneProt-4",0.00863443621006087,0.999656525793002,0.000401707467830373,0.00104629233105653,0.00105828080128529,0.000499014263418854,0.00279854033089406
"ST",0.999779599330255,0.999855032373686,0.999947653385007,0.992619010456562,0.99965019580377,0.000201916132487081,0.998929857345769
"ST+Text",0.995168798437783,0.999416261453572,0.996276701243226,0.925136009052274,0.156981874186472,0.000869715054795257,0.231584368148991
"ST+pocket",1,0.999410274852012,0.999693296461896,0.998949800883173,1,0.999416261453572,1
"ST+Pocket+Text",0.944705780612694,0.999858160467482,0.857731139086017,0.436315813587046,0.00541814271566506,0.000197746916496251,0.00245874626513146
"ST+SG",1,0.99965019580377,0.999839801069836,0.989346144664186,0.841200466200466,0.00050770075881884,0.91663937416779
"ST+SG+Text",0.999041134435787,0.999783157013825,0.999241928884459,0.972230742835201,0.0242672293129496,0.000308087759013667,0.0815842539196936
"SG+ST+Pocket",1,0.999410274852012,0.999693296461896,0.995933463882553,1,0.523536320315845,1
