"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",0.525668101220341,0.981370045247547,0.000582750582750583,0.717779191620879,0.000582750582750583,0.999653370726575,0.000291375291375291,0.999316255631461,0.000512081666202269,0.112000625891286,0.000582750582750583,0.890654607151129,0.00748540799885231,0.224941633675614,0.000582750582750583,0.984682841589866
"Text",0.0262350797697522,0.534258640240592,0.00238591085689856,0.0654694750161713,0.00238591085689856,0.999439805691233,0.00161583661040078,0.996149576040551,0.000853165140994122,0.0217264009961122,0.00238591085689856,0.0769750787631147,0.00161583661040078,0.00443888208403407,0.00238591085689856,0.270286549114287
"Pocket",1,0.998574239017664,0.532246162773191,0.998949800883173,0.242424242424242,0.999416261453572,0.998668289854603,0.998964654657048,0.999410274852012,0.998499148326408,0.130748088095573,0.999428113806032,1,0.999237571582805,0.869251911904427,0.999693296461896
"Pocket+Text",0.327004527081,0.950962458033395,0.00168066973738251,0.525900071290706,0.00168066973738251,0.999656525793002,0.00107035486579256,0.999324608105784,0.00050770075881884,0.0492714633586087,0.00168066973738251,0.889277594991766,0.00239841385991758,0.0586131028284136,0.00168066973738251,0.966372706258068
"SG",1,0.998574239017664,0.803030303030303,0.998949800883173,0.532246162773191,0.999416261453572,1,0.998964654657048,0.999410274852012,0.998499148326408,0.3495670995671,0.999428113806032,1,0.999237571582805,0.933982683982684,0.999693296461896
"SG+Text",0.00050770075881884,0.000844966261868593,0.000878066267043665,0.000503344976651955,0.000878066267043665,0.517839491087834,0.00050770075881884,0.000499014263418854,0.000201916132487081,0.000869715054795257,0.000878066267043665,0.000197746916496251,0.00050770075881884,0.000308087759013667,0.000878066267043665,6.96218560937934e-05
"SG+Pocket",1,0.998993965083233,0.00211103174025538,0.999307836058853,0.000582750582750583,0.999653370726575,0.525668101220341,0.999316255631461,0.999579941839211,0.998949800883173,0.000582750582750583,0.999659661058821,1,0.999523658154312,0.0256410256410256,0.999839801069836
"OneProt-4",0.00105828080128529,0.005853376533552,0.00165889021489381,0.00104629233105653,0.00165889021489381,0.999659661058821,0.00105828080128529,0.526138446354574,0.000503344976651955,0.00163727921693415,0.00165889021489381,0.000586822567745392,0.00105828080128529,0.000701741140659922,0.00165889021489381,0.000401707467830373
"ST",0.99965019580377,0.999433979756675,0.000886468433048413,0.999653370726575,0.000886468433048413,0.999856080557549,0.000612015029028556,0.999656525793002,0.517764426877962,0.999416261453572,0.000886468433048413,0.999858160467482,0.995352598652543,0.999783157013825,0.000886468433048413,0.999947653385007
"ST+Text",0.912928434891151,0.985403770063596,0.00249906238254123,0.963721520098387,0.00249906238254123,0.999422207738403,0.00168066973738251,0.998979375960937,0.000878066267043665,0.532715885435353,0.00249906238254123,0.98573950662322,0.075998627015371,0.762626078301118,0.00249906238254123,0.996276701243226
"ST+pocket",1,0.998574239017664,0.900301368623091,0.998949800883173,0.705627705627706,0.999416261453572,1,0.998964654657048,0.999410274852012,0.998499148326408,0.532246162773191,0.999428113806032,1,0.999237571582805,0.953463203463203,0.999693296461896
"ST+Pocket+Text",0.130706243007341,0.938769561973608,0.000861414708888343,0.132131049207001,0.000861414708888343,0.999859192225162,0.000499014263418854,0.999598283178782,0.0001991297894988,0.0191483927206744,0.000861414708888343,0.517992519148941,0.000596815753860583,0.00898516204713525,0.000861414708888343,0.857731139086017
"ST+SG",0.99478355490854,0.998993965083233,0.000582750582750583,0.998403754810961,0.000582750582750583,0.999653370726575,0.000291375291375291,0.999316255631461,0.00630047655632952,0.942459847801414,0.000582750582750583,0.999591013340003,0.525668101220341,0.993659357867863,0.000582750582750583,0.999839801069836
"ST+SG+Text",0.808356882117253,0.996997992398146,0.00118082340084609,0.953770028426696,0.00118082340084609,0.999784920534754,0.000715795241300679,0.999533648444837,0.000310484960132386,0.279335645227139,0.00118082340084609,0.993107348825891,0.00873504785821304,0.521318268897617,0.00118082340084609,0.999241928884459
"SG+ST+Pocket",1,0.998574239017664,0.167911049160671,0.998949800883173,0.0898268398268398,0.999416261453572,0.982517482517482,0.998964654657048,0.999410274852012,0.998499148326408,0.066017316017316,0.999428113806032,1,0.999237571582805,0.532246162773191,0.999693296461896
"ESM2",0.0189001085264025,0.759934603356846,0.000431487880624507,0.040505136179885,0.000431487880624507,0.999947924776242,0.000221072510552055,0.999705322504121,6.99721411073338e-05,0.00490746982366102,0.000431487880624507,0.158937106843027,0.000221072510552055,0.000986654081600412,0.000431487880624507,0.511626589029527
