"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",0.51331958768215,0.978126018009335,0.000521897492591634,0.39398073940076,0.000274301564635061,0.992221031683246,0.000341659177669257,0.998713375608435,0.000126531529420069,0.0078647054933523,0.000244753024569485,0.357676983279266,0.120321678453267,0.0395821727788677,0.000518164327190561,0.36920057151144
"Text",0.0249248671460209,0.509263820681073,0.000298247318328182,0.0245655740153892,0.000141637189237924,0.814646483065231,3.91025249952941e-05,0.986872916770078,3.94243948973563e-05,4.23692504791817e-06,7.17703980079234e-05,0.0100872961986182,0.001321002076227,0.000155922823276729,0.000296821261893034,0.0138039771660137
"Pocket",0.999636677871854,0.999780892653449,0.532246162773191,0.999416261453572,0.95143055610338,0.999228355463929,0.999433979756675,0.999433979756675,0.99815164853453,0.999892599224997,0.987017389272432,0.999636677871854,0.999542621612544,0.999636677871854,0.937905956664429,0.999237571582805
"Pocket+Text",0.635254997730452,0.978868342360698,0.000878066267043665,0.517839491087834,0.000499014263418854,0.989928760858578,0.00019637088584727,0.99495512406312,0.0001991297894988,0.00664658188362964,0.000356529496315116,0.40873412838651,0.171414862920619,0.0389183692420974,0.000869715054795257,0.558094408812941
"SG",0.999805008973341,0.999894297078978,0.0649324960207548,0.999659661058821,0.526138446354574,0.999528671093998,0.999668948613249,0.999668948613249,0.979087642529855,0.999955695929835,0.794438609440792,0.999805008973341,0.999744676518771,0.999805008973341,0.5,0.999533648444837
"SG+Text",0.00975328714268375,0.204319209272161,0.00119402851212126,0.0129782126918901,0.000708745536398896,0.521189577995396,0.000303331864770704,0.913307382226987,0.000308087759013667,6.94508062352523e-05,0.000445507953793249,0.00714497212276711,0.00138563646963709,0.000518368736646424,0.00118082340084609,0.00549459088554761
"SG+Pocket",0.99974218737791,0.999970028167996,0.000853165140994122,0.999860218539077,0.00048617197027953,0.99978841708381,0.51807052487481,0.99986326497663,0.00727305887012664,0.999979014917778,0.00514789402693217,0.999931768556717,0.999887353776114,0.999931768556717,0.00318909572531641,0.999790150171655
"OneProt-4",0.00165022843603066,0.0154276693178701,0.000853165140994122,0.00649537047412479,0.00048617197027953,0.103085717441663,0.000192283672817532,0.51807052487481,0.000195001680042725,5.66810776475089e-05,0.000293973209617761,0.00146348960982261,0.000803591180177458,0.000388898362447153,0.000844966261868593,0.00252124519181244
"ST",0.999906281084895,0.999969773864139,0.0026808593214019,0.999858160467482,0.0269187897530611,0.999784920534754,0.994334804004259,0.999861239425062,0.517915514970041,0.999989802308117,0.17749075693544,0.999930966078545,0.99990229386137,0.999930966078545,0.0374945683937513,0.999786673881471
"ST+Text",0.992990467202483,0.999996406080049,0.000136441752794034,0.994189174041724,5.57181605881276e-05,0.999943597756844,2.57183888362636e-05,0.999953355814082,1.25900835908815e-05,0.505462571447069,5.07809704071148e-05,0.988532942632873,0.928979136133323,0.792584107647969,0.000136108960635304,0.996994410345984
"ST+pocket",0.99982113042964,0.999945691667067,0.0180523055206373,0.999750421515477,0.240560000563619,0.999696359208951,0.996122490195595,0.999795289047828,0.84668887504306,0.999958913448192,0.521718881863895,0.999870127299633,0.999787654491373,0.999870127299633,0.256497460783919,0.999699194828783
"ST+Pocket+Text",0.666758410474387,0.991305939756212,0.000521897492591634,0.620858629959337,0.000274301564635061,0.994344455573293,9.2670137604073e-05,0.998861852256726,9.37189151045225e-05,0.0127812031032467,0.000178869570360398,0.51331958768215,0.249154141288366,0.0819012968548397,0.000518164327190561,0.677180765342698
"ST+SG",0.893341132910899,0.998913603881177,0.000671087589870757,0.848747155753955,0.000366114935136236,0.998969665819466,0.000154967913634945,0.999395053911025,0.000134734549475121,0.0772611226951441,0.000296250870739991,0.772900582110139,0.515271379149319,0.272299018339872,0.000665577751706351,0.895978266085622
"ST+SG+Text",0.965757545185431,0.999874038877185,0.000521897492591634,0.967119311353945,0.000274301564635061,0.999615069994486,9.2670137604073e-05,0.999705852662488,9.37189151045225e-05,0.219582548143386,0.000178869570360398,0.927676193145678,0.750845858711634,0.51331958768215,0.000518164327190561,0.977503909795213
"SG+ST+Pocket",0.999639427737635,0.999781988110386,0.0844735108465419,0.999422207738403,0.557751860885602,0.999237571582805,0.99778828219535,0.999439805691233,0.971233065062642,0.999892869549036,0.783778410565847,0.999639427737635,0.99954661685661,0.999639427737635,0.532715885435353,0.999246716281979
"ESM2",0.661830564276761,0.98844618811845,0.00118082340084609,0.480573927583647,0.000701741140659922,0.995963516261954,0.000300973107581191,0.998140172124258,0.000305703404556854,0.00351075923098393,0.000441582997426345,0.353375078280846,0.121194229445028,0.0273534226306742,0.00116770899573003,0.521318268897617
