"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.710005352599394,0.825016193682562,0.00177293686609683,0.000477006135309976,0.00420717600268479,0.00177293686609683,8.11337804765858e-05
"Text",0.0733216385841933,0.289111696696541,0.00336133947476503,0.0225580256496711,0.200344507272011,0.00527815546901318,0.0274443523855505
"Pocket",0.00214070973158512,0.00101540151763768,0.172954917988421,0.00101540151763768,0.00211656160257058,0.00813307223489498,0.000291164466674741
"Pocket+Text",0.00336133947476503,0.0869148980793183,0.00499812476508246,0.0152323811442799,0.885461543380297,0.00499812476508246,0.0520603756320105
"SG",0.00116550116550117,0.00177293686609683,0.00432900432900433,0.00177293686609683,0.00336133947476503,0.00216450216450216,0.00061089790936434
"SG+Text",0.56664135655227,0.595225006425869,0.00499812476508246,0.00175613253408733,0.00331778042978762,0.00499812476508246,0.000607998178070459
"SG+Pocket",0.00336133947476503,0.00382161773491882,0.572475573921105,0.0111380961426505,0.00804565658481683,0.470393004438648,0.00382562959392029
"OneProt-4",0.0200744855440091,0.498999101189937,0.00238805702424253,0.000625790079642251,0.00143159048260136,0.00238805702424253,0.00014926371537593
"ST",0.00116550116550117,0.0046042538684766,0.748348568843747,0.0248851619912001,0.00813307223489498,0.199397262753818,0.008210385804931
"ST+Text",0.0734265734265734,0.262463825572023,0.00216450216450216,0.00263067788061859,0.0440221950416701,0.00216450216450216,0.000707336283767701
"ST+pocket",0.000310800310800311,0.000630636059809067,0.219015898317091,0.00089438748952918,0.00144578070089475,0.020000001809309,0.000149909930737193
"ST+Pocket+Text",0.0211650497099508,0.168487869988193,0.00116550116550117,0.0014835906789579,0.0471573188700218,0.00116550116550117,0.000389377806686025
"ST+SG",0.00214070973158512,0.00299546903772218,0.0717633950706337,0.00804487029863745,0.00258961922850358,0.774493306112546,0.000291164466674741
"ST+SG+Text",0.0147278010964769,0.0913957155235172,0.00233541799146005,0.000616175518027334,0.00365858087355564,0.00233541799146005,0.000147977514113225
"SG+ST+Pocket",0.000582750582750583,0.0014835906789579,0.180652680652681,0.00212668811503222,0.00326029360191014,0.034965034965035,0.000292494757949105
