"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.00129845201625266,0.720247465494024,0.00499812476508246,0.00336133947476503,0.629754097545963,0.00492203567532315,2.38934426311363e-05
"Text",0.0257889425171735,0.117883757166443,0.000666000666000666,0.00217560217560218,0.282384282384282,0.00238805702424253,1.2068124235517e-06
"Pocket",0.000726701113461374,0.00214070973158512,0.00116550116550117,0.0262237762237762,0.00116550116550117,0.00336133947476503,5.17497462584719e-06
"Pocket+Text",0.00813763551283527,0.0633357038255718,0.00116550116550117,0.000582750582750583,0.0318884033413308,0.00336133947476503,5.09521251700826e-06
"SG",0.0013092940310617,0.00336133947476503,0.00432900432900433,0.034965034965035,0.00216450216450216,0.00499812476508246,3.32359748169986e-05
"SG+Text",0.00198079746141713,0.00211656160257058,0.00336133947476503,0.00214070973158512,0.00336133947476503,0.00331778042978762,5.0952118823548e-06
"SG+Pocket",0.00129845201625266,0.00331778042978762,0.00499812476508246,0.0380533311837477,0.00499812476508246,0.00492203567532315,2.38934426311363e-05
"OneProt-4",0.0110121048638015,0.00102416333240454,0.0003996003996004,0.000174825174825175,0.0003996003996004,0.00177293686609683,2.40070135022433e-07
"ST",0.00072120101689896,0.00211656160257058,0.0380533311837477,0.441779416588695,0.00336133947476503,0.0994780797227141,0.000249402226336891
"ST+Text",0.00862824054133021,0.886091769508557,0.00216450216450216,0.00116550116550117,0.872559030892382,0.00499812476508246,2.44609109012393e-05
"ST+pocket",0.000427637350421425,0.00143159048260136,0.01172847850548,0.0239017976171967,0.00238805702424253,0.00236164680169218,3.34099865540962e-06
"ST+Pocket+Text",0.000427637350421425,0.0367349653918768,0.00238805702424253,0.00144578070089475,1,0.00236164680169218,1.10019478111484e-06
"ST+SG",0.000267790680217556,0.00101540151763768,0.237753142418566,0.0498634164369884,0.00177293686609683,0.00382161773491882,0.00205645167395521
"ST+SG+Text",0.0497041423739334,0.174143130217699,0.00216450216450216,0.00116550116550117,0.0649350649350649,0.00499812476508246,2.38934452111877e-05
"SG+ST+Pocket",0.0013092940310617,0.00336133947476503,0.00432900432900433,0.034965034965035,0.00216450216450216,0.00499812476508246,2.81443756336168e-05
