"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",1,0.365100575729184,0.00336133947476503,0.390060642613852,0.00499812476508246,0.00331778042978762,0.00492203567532315,0.00177293686609683,0.00331778042978762,0.574503810234666,0.00236164680169218,0.330786882524553,0.00175613253408733,0.108074120876939,0.00499812476508246,0.00499812476508246
"Text",0.365100575729184,1,0.000310800310800311,0.0823051817327407,0.000666000666000666,0.00144578070089475,0.00238805702424253,0.00240687002119201,0.00144578070089475,0.698219819379927,0.000930972271575002,0.155949393601495,0.000630636059809067,0.136772687405377,0.000666000666000666,0.000666000666000666
"Pocket",0.00336133947476503,0.000310800310800311,1,0.000582750582750583,0.234265734265734,0.00214070973158512,0.885620080124146,0.000174825174825175,0.00214070973158512,0.00116550116550117,0.00648826426308024,0.00144578070089475,0.00423525004634821,0.00116550116550117,0.196687888150126,0.00116550116550117
"Pocket+Text",0.390060642613852,0.0823051817327407,0.000582750582750583,1,0.00116550116550117,0.00214070973158512,0.00336133947476503,0.00253626803416911,0.00214070973158512,0.152562723636577,0.00144578070089475,0.00313999281897883,0.00102416333240454,0.628205128205128,0.00116550116550117,0.00116550116550117
"SG",0.00499812476508246,0.000666000666000666,0.234265734265734,0.00116550116550117,1,0.00336133947476503,0.148115795917625,0.0003996003996004,0.00336133947476503,0.00216450216450216,0.17476969581446,0.00238805702424253,0.0516208533559134,0.00216450216450216,0.484848484848485,0.00432900432900433
"SG+Text",0.00331778042978762,0.00144578070089475,0.00214070973158512,0.00214070973158512,0.00336133947476503,1,0.00331778042978762,0.790995532693552,0.00211656160257058,0.00336133947476503,0.00143159048260136,0.00143159048260136,0.00101540151763768,0.00336133947476503,0.00336133947476503,0.00336133947476503
"SG+Pocket",0.00492203567532315,0.00238805702424253,0.885620080124146,0.00336133947476503,0.148115795917625,0.00331778042978762,1,0.00177293686609683,0.00331778042978762,0.00499812476508246,0.0054065246140978,0.00236164680169218,0.00382161773491882,0.00499812476508246,0.148115795917625,0.00499812476508246
"OneProt-4",0.00177293686609683,0.00240687002119201,0.000174825174825175,0.00253626803416911,0.0003996003996004,0.790995532693552,0.00177293686609683,1,0.00102416333240454,0.000799200799200799,0.000630636059809067,0.000630636059809067,0.000409460108853158,0.00464091203282591,0.0003996003996004,0.0003996003996004
"ST",0.00331778042978762,0.00144578070089475,0.00214070973158512,0.00214070973158512,0.00336133947476503,0.00211656160257058,0.00331778042978762,0.00102416333240454,1,0.00336133947476503,0.00143159048260136,0.00143159048260136,0.00101540151763768,0.00336133947476503,0.00336133947476503,0.0380533311837477
"ST+Text",0.574503810234666,0.698219819379927,0.00116550116550117,0.152562723636577,0.00216450216450216,0.00336133947476503,0.00499812476508246,0.000799200799200799,0.00336133947476503,1,0.00238805702424253,0.948475944546962,0.00177293686609683,0.17965367965368,0.00216450216450216,0.00216450216450216
"ST+pocket",0.00236164680169218,0.000930972271575002,0.00648826426308024,0.00144578070089475,0.17476969581446,0.00143159048260136,0.0054065246140978,0.000630636059809067,0.00143159048260136,0.00238805702424253,1,0.000922886379454514,0.148167027480195,0.00238805702424253,0.0446782602944812,0.01172847850548
"ST+Pocket+Text",0.330786882524553,0.155949393601495,0.00144578070089475,0.00313999281897883,0.00238805702424253,0.00143159048260136,0.00236164680169218,0.000630636059809067,0.00143159048260136,0.948475944546962,0.000922886379454514,1,0.000625790079642251,0.0384386836774518,0.00238805702424253,0.00238805702424253
"ST+SG",0.00175613253408733,0.000630636059809067,0.00423525004634821,0.00102416333240454,0.0516208533559134,0.00101540151763768,0.00382161773491882,0.000409460108853158,0.00101540151763768,0.00177293686609683,0.148167027480195,0.000625790079642251,1,0.00177293686609683,0.0131638678447611,0.237753142418566
"ST+SG+Text",0.108074120876939,0.136772687405377,0.00116550116550117,0.628205128205128,0.00216450216450216,0.00336133947476503,0.00499812476508246,0.00464091203282591,0.00336133947476503,0.17965367965368,0.00238805702424253,0.0384386836774518,0.00177293686609683,1,0.00216450216450216,0.00216450216450216
"SG+ST+Pocket",0.00499812476508246,0.000666000666000666,0.196687888150126,0.00116550116550117,0.484848484848485,0.00336133947476503,0.148115795917625,0.0003996003996004,0.00336133947476503,0.00216450216450216,0.0446782602944812,0.00238805702424253,0.0131638678447611,0.00216450216450216,1,0.00432900432900433
"ESM2",0.00499812476508246,0.000666000666000666,0.00116550116550117,0.00116550116550117,0.00432900432900433,0.00336133947476503,0.00499812476508246,0.0003996003996004,0.0380533311837477,0.00216450216450216,0.01172847850548,0.00238805702424253,0.237753142418566,0.00216450216450216,0.00432900432900433,1
