"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",1,0.0715260630295967,0.00101540151763768,0.00260745237192653,0.00177293686609683,0.516117478424375,0.00175613253408733,0.177133458310659,0.00177293686609683,0.0588925918846574,0.000630636059809067,0.0297691598600365,0.00101540151763768,0.010437979566249,0.00102416333240454,0.00177293686609683
"Text",0.0715260630295967,1,0.00211656160257058,0.282650502137313,0.00336133947476503,0.0851793436576339,0.00521573091114377,0.00143159048260136,0.00649326468643186,0.774493306112546,0.00144578070089475,1,0.00211656160257058,0.684374754806399,0.00214070973158512,0.00336133947476503
"Pocket",0.00101540151763768,0.00211656160257058,1,0.00331778042978762,0.0266003036715537,0.00331778042978762,0.037788375050224,0.00143159048260136,0.315977335831649,0.00336133947476503,0.907704275515741,0.00214070973158512,0.00392073724260794,0.00140348228131984,0.441779416588695,0.172954917988421
"Pocket+Text",0.00260745237192653,0.282650502137313,0.00331778042978762,1,0.00499812476508246,0.00492203567532315,0.00492203567532315,0.00236164680169218,0.00499812476508246,0.0159365705333911,0.00238805702424253,0.0148806424187961,0.00331778042978762,0.00640859597762725,0.00336133947476503,0.00499812476508246
"SG",0.00177293686609683,0.00336133947476503,0.0266003036715537,0.00499812476508246,1,0.00499812476508246,0.00812704263106845,0.00238805702424253,0.00865800865800866,0.00216450216450216,0.120925995561984,0.00116550116550117,0.00336133947476503,0.00233541799146005,0.474442900437055,0.00432900432900433
"SG+Text",0.516117478424375,0.0851793436576339,0.00331778042978762,0.00492203567532315,0.00499812476508246,1,0.00492203567532315,0.0054065246140978,0.00499812476508246,0.0538188220702278,0.00238805702424253,0.0219045054816392,0.00331778042978762,0.013644873989498,0.00336133947476503,0.00499812476508246
"SG+Pocket",0.00175613253408733,0.00521573091114377,0.037788375050224,0.00492203567532315,0.00812704263106845,0.00492203567532315,1,0.00236164680169218,0.574503810234666,0.00499812476508246,0.135905616382265,0.00336133947476503,0.425605150059118,0.00230937033398018,0.0737482209984484,0.572475573921105
"OneProt-4",0.177133458310659,0.00143159048260136,0.00143159048260136,0.00236164680169218,0.00238805702424253,0.0054065246140978,0.00236164680169218,1,0.00238805702424253,0.00238805702424253,0.000930972271575002,0.00144578070089475,0.00143159048260136,0.00090685675099235,0.00144578070089475,0.00238805702424253
"ST",0.00177293686609683,0.00649326468643186,0.315977335831649,0.00499812476508246,0.00865800865800866,0.00499812476508246,0.574503810234666,0.00238805702424253,1,0.00216450216450216,0.344988344988345,0.00116550116550117,0.174143130217699,0.00233541799146005,0.180652680652681,0.748348568843747
"ST+Text",0.0588925918846574,0.774493306112546,0.00336133947476503,0.0159365705333911,0.00216450216450216,0.0538188220702278,0.00499812476508246,0.00238805702424253,0.00216450216450216,1,0.000666000666000666,0.667805814250426,0.00336133947476503,0.896484046611096,0.00116550116550117,0.00216450216450216
"ST+pocket",0.000630636059809067,0.00144578070089475,0.907704275515741,0.00238805702424253,0.120925995561984,0.00238805702424253,0.135905616382265,0.000930972271575002,0.344988344988345,0.000666000666000666,1,0.000310800310800311,0.0172688724201217,0.000914847910263604,0.728221023330223,0.219015898317091
"ST+Pocket+Text",0.0297691598600365,1,0.00214070973158512,0.0148806424187961,0.00116550116550117,0.0219045054816392,0.00336133947476503,0.00144578070089475,0.00116550116550117,0.667805814250426,0.000310800310800311,1,0.00214070973158512,0.599907209701928,0.000582750582750583,0.00116550116550117
"ST+SG",0.00101540151763768,0.00211656160257058,0.00392073724260794,0.00331778042978762,0.00336133947476503,0.00331778042978762,0.425605150059118,0.00143159048260136,0.174143130217699,0.00336133947476503,0.0172688724201217,0.00214070973158512,1,0.00140348228131984,0.0471573188700218,0.0717633950706337
"ST+SG+Text",0.010437979566249,0.684374754806399,0.00140348228131984,0.00640859597762725,0.00233541799146005,0.013644873989498,0.00230937033398018,0.00090685675099235,0.00233541799146005,0.896484046611096,0.000914847910263604,0.599907209701928,0.00140348228131984,1,0.00141749107279779,0.00233541799146005
"SG+ST+Pocket",0.00102416333240454,0.00214070973158512,0.441779416588695,0.00336133947476503,0.474442900437055,0.00336133947476503,0.0737482209984484,0.00144578070089475,0.180652680652681,0.00116550116550117,0.728221023330223,0.000582750582750583,0.0471573188700218,0.00141749107279779,1,0.180652680652681
"ESM2",0.00177293686609683,0.00336133947476503,0.172954917988421,0.00499812476508246,0.00432900432900433,0.00499812476508246,0.572475573921105,0.00238805702424253,0.748348568843747,0.00216450216450216,0.219015898317091,0.00116550116550117,0.0717633950706337,0.00233541799146005,0.180652680652681,1
