"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.355002676299697,0.412508096841281,0.000886468433048413,0.000238503067654988,0.0021035880013424,0.000886468433048413,4.05668902382929e-05
"Text",0.97249133617112,0.878208859727166,0.00168066973738251,0.0112790128248355,0.100172253636006,0.00263907773450659,0.0137221761927752
"Pocket",0.999307836058853,0.999653370726575,0.933994619830948,0.999653370726575,0.999316255631461,0.997360922265493,0.999891235600766
"Pocket+Text",0.998949800883173,0.966372281515187,0.00249906238254123,0.00761619057213994,0.613364364394561,0.00249906238254123,0.0260301878160052
"SG",1,0.999410274852012,0.998917748917749,0.999410274852012,0.998949800883173,1,0.99977535694582
"SG+Text",0.763083404703585,0.741941260787813,0.00249906238254123,0.000878066267043665,0.00165889021489381,0.00249906238254123,0.00030399908903523
"SG+Pocket",0.998949800883173,0.998696273814037,0.286237786960552,0.996050985835573,0.997392134544428,0.811178804309567,0.998534230887982
"OneProt-4",0.0100372427720046,0.249499550594969,0.00119402851212126,0.000312895039821126,0.000715795241300679,0.00119402851212126,7.4631857687965e-05
"ST",1,0.998419101679315,0.684822236819068,0.99089310133349,0.997360922265493,0.925585426080351,0.996793642938806
"ST+Text",0.974358974358974,0.892242643521309,0.00108225108225108,0.0013153389403093,0.022011097520835,0.00108225108225108,0.000353668141883851
"ST+pocket",1,0.999779599330255,0.912852729800199,0.999684681970095,0.999518609524448,0.992967311607127,0.99994319707768
"ST+Pocket+Text",0.992514592001148,0.930963856761836,0.000582750582750583,0.00074179533947895,0.0235786594350109,0.000582750582750583,0.000194688903343013
"ST+SG",0.999307836058853,0.998944695059985,0.0358816975353168,0.997076031721192,0.999157756871989,0.666312590847681,0.999891235600766
"ST+SG+Text",0.994692854281574,0.962832229038752,0.00116770899573003,0.000308087759013667,0.00182929043677782,0.00116770899573003,7.39887570566127e-05
"SG+ST+Pocket",1,0.999487918333798,0.931235431235431,0.999258204660521,0.998929645134207,0.988927738927739,0.99989071910535
