"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.999558461236602,0.360123732747012,0.00249906238254123,0.00168066973738251,0.314877048772981,0.00246101783766158,1.19467213155682e-05
"Text",0.989790284766277,0.953477470523981,0.000333000333000333,0.00108780108780109,0.885780885780886,0.00119402851212126,6.03406211775851e-07
"Pocket",0.999746710091083,0.999307836058853,1,0.991258741258741,1,0.998949800883173,0.999997432527362
"Pocket+Text",0.996968147986167,0.0316678519127859,0.000582750582750583,0.000291375291375291,0.0159442016706654,0.00168066973738251,2.54760625850413e-06
"SG",0.999554536611489,0.998949800883173,0.998917748917749,0.988927738927739,1,0.998499148326408,0.999983509541979
"SG+Text",0.000990398730708563,0.00105828080128529,0.00168066973738251,0.00107035486579256,0.00168066973738251,0.00165889021489381,2.5476059411774e-06
"SG+Pocket",0.999558461236602,0.998964654657048,0.998499148326408,0.986699848164223,0.998499148326408,0.998524436996667,0.999988146457747
"OneProt-4",0.00550605243190076,0.000512081666202269,0.0001998001998002,8.74125874125874e-05,0.0001998001998002,0.000886468433048413,1.20035067511216e-07
"ST",0.999748732283146,0.999316255631461,0.0190266655918738,0.220889708294347,0.998949800883173,0.049739039861357,0.000124701113168446
"ST+Text",0.996889298267421,0.612753346943727,0.00108225108225108,0.000582750582750583,0.625825715578126,0.00249906238254123,1.22304554506197e-05
"ST+pocket",0.999847836126621,0.999523658154312,0.995968875307853,0.991214466616157,0.999228355463929,0.999237571582805,0.999998341804899
"ST+Pocket+Text",0.999847836126621,0.986263694716336,0.00119402851212126,0.000722890350447377,0.551473143271871,0.00118082340084609,5.50097390557421e-07
"ST+SG",0.999902928441205,0.999653370726575,0.902973730034449,0.980639566813335,0.999410274852012,0.998696273814037,0.998976726211789
"ST+SG+Text",0.98084531635934,0.0870715651088493,0.00108225108225108,0.000582750582750583,0.0324675324675325,0.00249906238254123,1.19467226055939e-05
"SG+ST+Pocket",0.999554536611489,0.998949800883173,0.998917748917749,0.988927738927739,1,0.998499148326408,0.999986036696926
