"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",0.532715885435353,0.182550287864592,0.00168066973738251,0.842011332084176,0.00249906238254123,0.998964654657048,0.00246101783766158,0.999410274852012,0.00165889021489381,0.287251905117333,0.00118082340084609,0.165393441262277,0.000878066267043665,0.961436181092184,0.00249906238254123,0.00249906238254123
"Text",0.84968257795552,0.52106318988918,0.000155400155400155,0.968080004065575,0.000333000333000333,0.999518609524448,0.00119402851212126,0.999129394409071,0.000722890350447377,0.697410118455249,0.000465486135787501,0.936236343321077,0.000315318029904533,0.947093390473663,0.000333000333000333,0.000333000333000333
"Pocket",0.998949800883173,1,0.525668101220341,1,0.90967365967366,0.999307836058853,0.61321067948722,1,0.999307836058853,1,0.997729137896158,0.999518609524448,0.998491575985298,1,0.924284478203292,1
"Pocket+Text",0.195030321306926,0.0411525908663704,0.000291375291375291,0.525668101220341,0.000582750582750583,0.999307836058853,0.00168066973738251,0.999110701767132,0.00107035486579256,0.0762813618182886,0.000722890350447377,0.00156999640948942,0.000512081666202269,0.733100233100233,0.000582750582750583,0.000582750582750583
"SG",0.998499148326408,1,0.117132867132867,1,0.532246162773191,0.998949800883173,0.0740578979588127,1,0.998949800883173,1,0.931397170120161,0.999228355463929,0.980502453740846,1,0.242424242424242,0.998917748917749
"SG+Text",0.00165889021489381,0.000722890350447377,0.00107035486579256,0.00107035486579256,0.00168066973738251,0.525900071290706,0.00165889021489381,0.644690661319778,0.00105828080128529,0.00168066973738251,0.000715795241300679,0.000715795241300679,0.00050770075881884,0.00168066973738251,0.00168066973738251,0.00168066973738251
"SG+Pocket",0.998524436996667,0.999228355463929,0.442810040062073,0.998949800883173,0.945962939561531,0.998964654657048,0.532715885435353,0.999410274852012,0.998964654657048,0.998499148326408,0.998199452286536,0.999237571582805,0.998696273814037,0.998499148326408,0.945962939561531,0.998499148326408
"OneProt-4",0.000886468433048413,0.001203435010596,8.74125874125874e-05,0.00126813401708455,0.0001998001998002,0.395497766346776,0.000886468433048413,0.517690302318477,0.000512081666202269,0.0003996003996004,0.000315318029904533,0.000315318029904533,0.000204730054426579,0.00232045601641295,0.0001998001998002,0.0001998001998002
"ST",0.998964654657048,0.999518609524448,0.00107035486579256,0.999307836058853,0.00168066973738251,0.999316255631461,0.00165889021489381,0.99965019580377,0.525900071290706,0.998949800883173,0.000715795241300679,0.999523658154312,0.00050770075881884,0.998949800883173,0.00168066973738251,0.0190266655918738
"ST+Text",0.764803497780676,0.349109909689964,0.000582750582750583,0.942209050024309,0.00108225108225108,0.998949800883173,0.00249906238254123,0.9998001998002,0.00168066973738251,0.532246162773191,0.00119402851212126,0.474237972273481,0.000886468433048413,0.933982683982684,0.00108225108225108,0.00108225108225108
"ST+pocket",0.999237571582805,0.999681902895025,0.00324413213154012,0.999518609524448,0.0873848479072299,0.999523658154312,0.0027032623070489,0.999779599330255,0.999523658154312,0.999228355463929,0.521189577995396,0.999684831437793,0.938516487579308,0.999228355463929,0.0223391301472406,0.995968875307853
"ST+Pocket+Text",0.864812811172945,0.0779746968007477,0.000722890350447377,0.99892798815644,0.00119402851212126,0.999523658154312,0.00118082340084609,0.999779599330255,0.000715795241300679,0.576858155898765,0.000461443189727257,0.521189577995396,0.000312895039821126,0.986079871469609,0.00119402851212126,0.00119402851212126
"ST+SG",0.999416261453572,0.999779599330255,0.0021176250231741,0.99965019580377,0.0258104266779567,0.999653370726575,0.00191080886745941,0.999853978682838,0.999653370726575,0.999410274852012,0.0740835137400977,0.999781383288902,0.517764426877962,0.999410274852012,0.00658193392238054,0.902973730034449
"ST+SG+Text",0.0540370604384694,0.0683863437026884,0.000582750582750583,0.314102564102564,0.00108225108225108,0.998949800883173,0.00249906238254123,0.9984055281781,0.00168066973738251,0.0898268398268398,0.00119402851212126,0.0192193418387259,0.000886468433048413,0.532246162773191,0.00108225108225108,0.00108225108225108
"SG+ST+Pocket",0.998499148326408,1,0.0983439440750628,1,0.803030303030303,0.998949800883173,0.0740578979588127,1,0.998949800883173,1,0.98370906284729,0.999228355463929,0.995302927669783,1,0.532246162773191,0.998917748917749
"ESM2",0.998499148326408,1,0.000582750582750583,1,0.00216450216450216,0.998949800883173,0.00249906238254123,1,0.986699848164223,1,0.00586423925273999,0.999228355463929,0.118876571209283,1,0.00216450216450216,0.532246162773191
