"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",0.517764426877962,0.0357630315147984,0.00050770075881884,0.00130372618596327,0.000886468433048413,0.258058739212187,0.000878066267043665,0.925916486259902,0.000886468433048413,0.0294462959423287,0.000315318029904533,0.0148845799300183,0.00050770075881884,0.0052189897831245,0.000512081666202269,0.000886468433048413
"Text",0.971812803987664,0.525900071290706,0.00105828080128529,0.141325251068657,0.00168066973738251,0.968898331662612,0.00260786545557188,0.999523658154312,0.00324663234321593,0.666312590847681,0.000722890350447377,0.550892258657273,0.00105828080128529,0.3421873774032,0.00107035486579256,0.00168066973738251
"Pocket",0.999653370726575,0.999316255631461,0.525900071290706,0.998964654657048,0.0133001518357769,0.998964654657048,0.986803986406836,0.999523658154312,0.874104463464811,0.998949800883173,0.45385213775787,0.999307836058853,0.998705190385748,0.999533648444837,0.220889708294347,0.933994619830948
"Pocket+Text",0.999121933732956,0.888318736251802,0.00165889021489381,0.532715885435353,0.00249906238254123,0.998524436996667,0.00246101783766158,0.999237571582805,0.00249906238254123,0.994930552563618,0.00119402851212126,0.995038803534601,0.00165889021489381,0.997854404186005,0.00168066973738251,0.00249906238254123
"SG",0.999410274852012,0.998949800883173,0.99087206970627,0.998499148326408,0.532246162773191,0.998499148326408,0.997500937617459,0.999228355463929,0.997835497835498,1,0.953534970433617,1,0.998949800883173,0.999246716281979,0.804642846117306,0.998917748917749
"SG+Text",0.778579305517706,0.0425896718288169,0.00165889021489381,0.00246101783766158,0.00249906238254123,0.532715885435353,0.00246101783766158,0.998199452286536,0.00249906238254123,0.0269094110351139,0.00119402851212126,0.0109522527408196,0.00165889021489381,0.00682243699474902,0.00168066973738251,0.00249906238254123
"SG+Pocket",0.999416261453572,0.998341109785106,0.018894187525112,0.998524436996667,0.00406352131553423,0.998524436996667,0.532715885435353,0.999237571582805,0.287251905117333,0.998499148326408,0.0679528081911326,0.998949800883173,0.82680011448556,0.999255789735604,0.0368741104992242,0.286237786960552
"OneProt-4",0.0885667291553296,0.000715795241300679,0.000715795241300679,0.00118082340084609,0.00119402851212126,0.0027032623070489,0.00118082340084609,0.521189577995396,0.00119402851212126,0.00119402851212126,0.000465486135787501,0.000722890350447377,0.000715795241300679,0.000453428375496175,0.000722890350447377,0.00119402851212126
"ST",0.999410274852012,0.99791511605933,0.157988667915824,0.998499148326408,0.00432900432900433,0.998499148326408,0.764803497780676,0.999228355463929,0.532246162773191,1,0.172494172494173,1,0.933459799167278,0.999246716281979,0.0903263403263403,0.684822236819068
"ST+Text",0.977628173602572,0.387246653056273,0.00168066973738251,0.00796828526669554,0.00108225108225108,0.981645371001087,0.00249906238254123,0.999228355463929,0.00108225108225108,0.532246162773191,0.000333000333000333,0.333902907125213,0.00168066973738251,0.448242023305548,0.000582750582750583,0.00108225108225108
"ST+pocket",0.999779599330255,0.999518609524448,0.591680292529626,0.999228355463929,0.0604629977809921,0.999228355463929,0.947478692481492,0.999681902895025,0.858807858807859,1,0.52106318988918,1,0.993738887637965,0.99968774128534,0.364110511665111,0.912852729800199
"ST+Pocket+Text",0.988671088362573,0.5,0.00107035486579256,0.00744032120939806,0.000582750582750583,0.992559678790602,0.00168066973738251,0.999518609524448,0.000582750582750583,0.716411877956278,0.000155400155400155,0.525668101220341,0.00107035486579256,0.739270186472082,0.000291375291375291,0.000582750582750583
"ST+SG",0.999653370726575,0.999316255631461,0.00196036862130397,0.998964654657048,0.00168066973738251,0.998964654657048,0.212802575029559,0.999523658154312,0.0870715651088493,0.998949800883173,0.00863443621006087,0.999307836058853,0.525900071290706,0.999533648444837,0.0235786594350109,0.0358816975353168
"ST+SG+Text",0.99606518234604,0.699388900595575,0.000701741140659922,0.00320429798881362,0.00116770899573003,0.995288225569378,0.00115468516699009,0.999690632492807,0.00116770899573003,0.602648429562693,0.000457423955131802,0.299953604850964,0.000701741140659922,0.521449333384486,0.000708745536398896,0.00116770899573003
"SG+ST+Pocket",0.99965019580377,0.999307836058853,0.815244713705655,0.998949800883173,0.237221450218528,0.998949800883173,0.973272447216155,0.999518609524448,0.931235431235431,1,0.678433897498179,1,0.982697116930621,0.999528671093998,0.525668101220341,0.931235431235431
"ESM2",0.999410274852012,0.998949800883173,0.0864774589942103,0.998499148326408,0.00216450216450216,0.998499148326408,0.765979197049792,0.999228355463929,0.374174284421874,1,0.109507949158546,1,0.974092374123418,0.999246716281979,0.0903263403263403,0.532246162773191
