"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.00116550116550117,0.00499812476508246,0.00116550116550117,0.0003996003996004,0.025974025974026,0.00216450216450216,0.00499812476508246
"Text",0.00466200466200466,0.0195887872912736,0.00116550116550117,0.0003996003996004,0.00216450216450216,0.0161224153433004,0.00499812476508246
"Pocket",0.00116550116550117,0.00416976788133904,0.000582750582750583,0.000174825174825175,0.00116550116550117,0.00116550116550117,0.115080304397172
"Pocket+Text",0.000310800310800311,0.00238805702424253,0.000310800310800311,8.22706705059646e-05,0.01998001998002,0.000666000666000666,0.00238805702424253
"SG",0.00173002212158581,0.00233541799146005,0.00143159048260136,0.000625790079642251,0.00236164680169218,0.00236164680169218,0.00233541799146005
"SG+Text",0.00815850815850816,0.0449512427024494,0.00116550116550117,0.0003996003996004,0.0151515151515152,0.025974025974026,0.00499812476508246
"SG+Pocket",0.00357915660035782,0.00385322542537587,0.000174825174825175,4.11353352529823e-05,0.0003996003996004,0.0003996003996004,0.00316179664137018
"OneProt-4",0.00116550116550117,0.00499812476508246,0.00116550116550117,0.0003996003996004,0.0247217123384461,0.00216450216450216,0.00499812476508246
"ST",0.137529137529138,0.0200223867508669,0.00116550116550117,0.0003996003996004,0.00216450216450216,0.00865800865800866,0.0129065704196534
"ST+Text",0.00815850815850816,0.0449512427024494,0.00116550116550117,0.0003996003996004,0.025974025974026,0.037040730591938,0.00499812476508246
"ST+pocket",0.835664335664336,0.0921251036917092,0.00116550116550117,0.0003996003996004,0.00216450216450216,0.148829147839297,0.00499812476508246
"ST+Pocket+Text",0.00214070973158512,0.00331778042978762,0.00214070973158512,0.00102416333240454,0.011942103817534,0.00336133947476503,0.00331778042978762
"ST+SG",0.771142126443967,0.0691550373064466,0.00141749107279779,0.000620969920264772,0.00233541799146005,0.0224939776634093,0.00230937033398018
"ST+SG+Text",0.00140348228131984,0.00228350356475037,0.00140348228131984,0.000616175518027334,0.013644873989498,0.00230937033398018,0.00228350356475037
"SG+ST+Pocket",0.440766628413118,0.2207942011088,0.00204514318801797,0.00098941712511119,0.00318912451057108,0.609608801099825,0.00314691200925023
