"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",1,0.0161224153433004,0.00116550116550117,0.518144831914451,0.00236164680169218,0.296258061358899,0.0003996003996004,0.296258061358899,0.00216450216450216,0.393939393939394,0.00216450216450216,0.431401416947178,0.00233541799146005,0.399307056114208,0.00318912451057108,0.00116550116550117
"Text",0.0161224153433004,1,0.00116550116550117,0.00799200799200799,0.00236164680169218,0.199397262753818,0.0003996003996004,0.0151515151515152,0.00216450216450216,0.0649350649350649,0.00216450216450216,0.00336133947476503,0.00233541799146005,0.00429119162798959,0.00318912451057108,0.00116550116550117
"Pocket",0.00116550116550117,0.00116550116550117,1,0.000310800310800311,0.384568005979765,0.00116550116550117,0.184816944277809,0.00116550116550117,0.0629281029563023,0.00116550116550117,0.00815850815850816,0.00214070973158512,0.00171349568741755,0.00140348228131984,0.00204514318801797,0.000582750582750583
"Pocket+Text",0.518144831914451,0.00799200799200799,0.000310800310800311,1,0.000922886379454514,0.518144831914451,8.22706705059646e-05,0.271434521575172,0.000666000666000666,0.697585760796737,0.000666000666000666,0.451509187944989,0.000914847910263604,0.915739574989753,0.00138956391640281,0.000310800310800311
"SG",0.00236164680169218,0.00236164680169218,0.384568005979765,0.000922886379454514,1,0.00236164680169218,0.772422780199262,0.00236164680169218,0.0806918890538439,0.00236164680169218,0.0449145507529805,0.00141749107279779,0.000898912788114092,0.000891015907586499,0.001361997691188,0.00143159048260136
"SG+Text",0.296258061358899,0.199397262753818,0.00116550116550117,0.518144831914451,0.00236164680169218,1,0.0003996003996004,1,0.00216450216450216,0.872559030892382,0.0161224153433004,0.667374818304637,0.00535551296313239,0.513943442885429,0.0257705407449666,0.00116550116550117
"SG+Pocket",0.0003996003996004,0.0003996003996004,0.184816944277809,8.22706705059646e-05,0.772422780199262,0.0003996003996004,1,0.0003996003996004,0.156928409945145,0.0003996003996004,0.0250148441553133,0.00102416333240454,0.00169597642720586,0.000616175518027334,0.00098941712511119,0.000174825174825175
"OneProt-4",0.296258061358899,0.0151515151515152,0.00116550116550117,0.271434521575172,0.00236164680169218,1,0.0003996003996004,1,0.00216450216450216,0.630355526361864,0.00216450216450216,0.666071711416691,0.00233541799146005,0.51629092536721,0.00318912451057108,0.00116550116550117
"ST",0.00216450216450216,0.00216450216450216,0.0629281029563023,0.000666000666000666,0.0806918890538439,0.00216450216450216,0.156928409945145,0.00216450216450216,1,0.00432900432900433,0.261496176191146,0.00336133947476503,0.153759397419894,0.00230937033398018,0.0143317882532465,0.00116550116550117
"ST+Text",0.393939393939394,0.0649350649350649,0.00116550116550117,0.697585760796737,0.00236164680169218,0.872559030892382,0.0003996003996004,0.630355526361864,0.00432900432900433,1,0.0151515151515152,0.667374818304637,0.00535551296313239,1,0.0307154730987111,0.00116550116550117
"ST+pocket",0.00216450216450216,0.00216450216450216,0.00815850815850816,0.000666000666000666,0.0449145507529805,0.0161224153433004,0.0250148441553133,0.00216450216450216,0.261496176191146,0.0151515151515152,1,0.00336133947476503,0.844928529925103,0.00230937033398018,0.247168849766109,0.00116550116550117
"ST+Pocket+Text",0.431401416947178,0.00336133947476503,0.00214070973158512,0.451509187944989,0.00141749107279779,0.667374818304637,0.00102416333240454,0.666071711416691,0.00336133947476503,0.667374818304637,0.00336133947476503,1,0.00140348228131984,1,0.00202167806325161,0.00214070973158512
"ST+SG",0.00233541799146005,0.00233541799146005,0.00171349568741755,0.000914847910263604,0.000898912788114092,0.00535551296313239,0.00169597642720586,0.00233541799146005,0.153759397419894,0.00535551296313239,0.844928529925103,0.00140348228131984,1,0.000883165994852691,0.0298394113629288,0.00141749107279779
"ST+SG+Text",0.399307056114208,0.00429119162798959,0.00140348228131984,0.915739574989753,0.000891015907586499,0.513943442885429,0.000616175518027334,0.51629092536721,0.00230937033398018,1,0.00230937033398018,1,0.000883165994852691,1,0.00133479083101299,0.00140348228131984
"SG+ST+Pocket",0.00318912451057108,0.00318912451057108,0.00204514318801797,0.00138956391640281,0.001361997691188,0.0257705407449666,0.00098941712511119,0.00318912451057108,0.0143317882532465,0.0307154730987111,0.247168849766109,0.00202167806325161,0.0298394113629288,0.00133479083101299,1,0.00204514318801797
"ESM2",0.00116550116550117,0.00116550116550117,0.000582750582750583,0.000310800310800311,0.00143159048260136,0.00116550116550117,0.000174825174825175,0.00116550116550117,0.00116550116550117,0.00116550116550117,0.00116550116550117,0.00214070973158512,0.00141749107279779,0.00140348228131984,0.00204514318801797,1
