"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.000582750582750583,0.00249906238254123,1,1,0.992424242424242,0.00108225108225108,0.00249906238254123
"Text",0.00233100233100233,0.00979439364563682,1,1,1,0.00806120767165018,0.00249906238254123
"Pocket",0.999708624708625,0.998686327431097,1,1,1,1,0.0575401521985858
"Pocket+Text",0.000155400155400155,0.00119402851212126,1,1,0.993672993672994,0.000333000333000333,0.00119402851212126
"SG",0.999421115498238,0.999246716281979,0.999523658154312,0.999781383288902,0.999237571582805,0.999237571582805,0.00116770899573003
"SG+Text",0.00407925407925408,0.0224756213512247,1,1,0.995670995670996,0.012987012987013,0.00249906238254123
"SG+Pocket",0.998731865982915,0.998684661059691,1,1,1,1,0.00158089832068509
"OneProt-4",0.000582750582750583,0.00249906238254123,1,1,0.99193879232835,0.00108225108225108,0.00249906238254123
"ST",0.949300699300699,0.993546714790173,1,1,1,0.997835497835498,0.00645328520982672
"ST+Text",0.00407925407925408,0.0224756213512247,1,1,0.992424242424242,0.018520365295969,0.00249906238254123
"ST+pocket",0.634615384615385,0.967459520671104,1,1,1,0.945652709601738,0.00249906238254123
"ST+Pocket+Text",0.00107035486579256,0.00165889021489381,0.999307836058853,0.99965019580377,0.99606386023315,0.00168066973738251,0.00165889021489381
"ST+SG",0.658081852553348,0.974245831975597,0.999528671093998,0.999783157013825,0.999246716281979,0.992074253003526,0.00115468516699009
"ST+SG+Text",0.000701741140659922,0.00114175178237518,0.999533648444837,0.999784920534754,0.995288225569378,0.00115468516699009,0.00114175178237518
"SG+ST+Pocket",0.220383314206559,0.914417232061017,0.999341112482256,0.999662776579997,0.999008422317996,0.744257381744126,0.00157345600462511
